股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,成交量占比,样本数,最大涨幅,最小涨幅,收盘涨幅
600192.SH,长城电工,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,33.33,64.1,2.56,0.0,78,0.06,-0.09,0.04
600192.SH,长城电工,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,28.57,66.23,5.19,0.0,77,0.05,-0.07,0.04
600192.SH,长城电工,flat,今天平开(涨幅=0%)  ，明天概率情况,竞价,21.05,68.42,10.53,0.33,19,,,
600192.SH,长城电工,flat,今天平开(涨幅=0%)  ，明天概率情况,1分钟,21.05,68.42,10.53,0.0,19,,,
600192.SH,长城电工,flat,今天平开(涨幅=0%)  ，明天概率情况,5分钟,21.05,68.42,10.53,0.0,19,0.19,-0.19,0.11
600192.SH,长城电工,flat,今天平开(涨幅=0%)  ，明天概率情况,15分钟,31.58,63.16,5.26,0.0,19,0.19,-0.22,0.17
600192.SH,长城电工,flat,今天平开(涨幅=0%)  ，明天概率情况,30分钟,36.84,57.89,5.26,0.0,19,0.12,-0.19,0.1
600192.SH,长城电工,flat,今天平开(涨幅=0%)  ，明天概率情况,1小时,47.37,47.37,5.26,0.0,19,0.13,-0.14,0.09
600192.SH,长城电工,5-7,今天5-7%，明天概率情况,竞价,12.5,87.5,0.0,1.2,8,,,
600192.SH,长城电工,5-7,今天5-7%，明天概率情况,1分钟,12.5,87.5,0.0,0.0,8,,,
600192.SH,长城电工,5-7,今天5-7%，明天概率情况,5分钟,12.5,87.5,0.0,0.0,8,0.74,-2.31,0.7
600192.SH,长城电工,5-7,今天5-7%，明天概率情况,15分钟,0.0,100.0,0.0,0.0,7,0.0,-2.08,0.0
600192.SH,长城电工,5-7,今天5-7%，明天概率情况,30分钟,0.0,100.0,0.0,0.0,8,0.0,-1.89,0.0
600192.SH,长城电工,5-7,今天5-7%，明天概率情况,1小时,0.0,100.0,0.0,0.0,8,0.0,-1.58,0.0
600192.SH,长城电工,7-9,今天7-9%，明天概率情况,竞价,0.0,100.0,0.0,0.35,2,,,
600192.SH,长城电工,7-9,今天7-9%，明天概率情况,1分钟,0.0,100.0,0.0,0.0,2,,,
600192.SH,长城电工,7-9,今天7-9%，明天概率情况,5分钟,0.0,100.0,0.0,0.0,2,0.0,-4.81,0.0
600192.SH,长城电工,7-9,今天7-9%，明天概率情况,15分钟,0.0,100.0,0.0,0.0,2,0.0,-4.81,0.0
600192.SH,长城电工,7-9,今天7-9%，明天概率情况,30分钟,0.0,100.0,0.0,0.0,2,0.0,-4.98,0.0
600192.SH,长城电工,7-9,今天7-9%，明天概率情况,1小时,0.0,100.0,0.0,0.0,2,0.0,-4.55,0.0
