股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
002701.SZ,奥瑞金,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,31.4,40.7,27.91,0.2,-0.98,-0.78,3.56,86
002701.SZ,奥瑞金,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,32.56,48.84,18.6,0.0,0.0,0.0,0.0,86
002701.SZ,奥瑞金,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,36.05,53.49,10.47,0.06,-0.03,0.03,0.0,86
002701.SZ,奥瑞金,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,36.05,51.16,12.79,0.06,-0.03,0.03,0.0,86
002701.SZ,奥瑞金,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,32.56,62.79,4.65,0.06,-0.04,0.03,0.0,86
002701.SZ,奥瑞金,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,40.7,53.49,5.81,0.06,-0.07,0.04,0.0,86
002701.SZ,奥瑞金,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,34.29,41.9,23.81,0.0,0.0,0.0,0.38,105
002701.SZ,奥瑞金,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,29.52,45.71,24.76,0.0,0.0,0.0,0.0,105
002701.SZ,奥瑞金,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,38.1,40.0,21.9,0.05,-0.02,0.03,0.0,105
002701.SZ,奥瑞金,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,31.43,48.57,20.0,0.05,-0.03,0.04,0.0,105
002701.SZ,奥瑞金,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,39.05,43.81,17.14,0.05,-0.03,0.04,0.0,105
002701.SZ,奥瑞金,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,34.29,48.57,17.14,0.05,-0.03,0.05,0.0,105
002701.SZ,奥瑞金,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,32.37,43.17,24.46,0.0,-0.19,0.0,0.08,139
002701.SZ,奥瑞金,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,27.34,46.04,26.62,0.0,0.0,0.0,0.0,139
002701.SZ,奥瑞金,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,43.17,42.45,14.39,0.05,-0.02,0.04,0.0,139
002701.SZ,奥瑞金,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,40.29,51.08,8.63,0.05,-0.03,0.03,0.0,139
002701.SZ,奥瑞金,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,41.01,50.36,8.63,0.05,-0.03,0.04,0.0,139
002701.SZ,奥瑞金,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,31.65,48.92,19.42,0.05,-0.03,0.04,0.0,139
002701.SZ,奥瑞金,1-3,今天1-3%，明天概率情况,竞价,35.62,42.47,21.92,-0.39,-0.59,-0.59,0.68,73
002701.SZ,奥瑞金,1-3,今天1-3%，明天概率情况,1分钟,30.14,43.84,26.03,0.0,0.0,0.0,0.0,73
002701.SZ,奥瑞金,1-3,今天1-3%，明天概率情况,5分钟,36.99,53.42,9.59,0.09,-0.06,0.09,0.0,73
002701.SZ,奥瑞金,1-3,今天1-3%，明天概率情况,15分钟,30.14,54.79,15.07,0.09,-0.06,0.06,0.0,73
002701.SZ,奥瑞金,1-3,今天1-3%，明天概率情况,30分钟,39.73,53.42,6.85,0.09,-0.06,0.08,0.0,73
002701.SZ,奥瑞金,1-3,今天1-3%，明天概率情况,1小时,45.21,46.58,8.22,0.11,-0.06,0.1,0.0,73
002701.SZ,奥瑞金,flat,今天平开(涨幅=0%)  ，明天概率情况,竞价,37.78,31.11,31.11,1.0,0.0,0.6,4.15,45
002701.SZ,奥瑞金,flat,今天平开(涨幅=0%)  ，明天概率情况,1分钟,24.44,46.67,28.89,0.0,0.0,0.0,0.0,45
002701.SZ,奥瑞金,flat,今天平开(涨幅=0%)  ，明天概率情况,5分钟,33.33,51.11,15.56,0.08,-0.07,0.05,0.0,45
002701.SZ,奥瑞金,flat,今天平开(涨幅=0%)  ，明天概率情况,15分钟,35.56,48.89,15.56,0.08,-0.07,0.04,0.0,45
002701.SZ,奥瑞金,flat,今天平开(涨幅=0%)  ，明天概率情况,30分钟,37.78,46.67,15.56,0.08,-0.07,0.05,0.0,45
