股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
603477.SH,巨星农牧,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,31.08,62.16,6.76,0.67,0.67,0.67,0.7,74
603477.SH,巨星农牧,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,31.08,62.16,6.76,0.0,0.0,0.0,0.0,74
603477.SH,巨星农牧,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,43.24,55.41,1.35,0.06,-0.04,0.04,0.0,74
603477.SH,巨星农牧,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,43.24,55.41,1.35,0.14,-0.07,0.14,0.0,74
603477.SH,巨星农牧,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,32.43,66.22,1.35,0.14,-0.07,0.14,0.0,74
603477.SH,巨星农牧,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,37.84,60.81,1.35,0.14,-0.08,0.14,0.0,74
603477.SH,巨星农牧,1-3,今天1-3%，明天概率情况,竞价,28.4,65.43,6.17,1.14,0.4,1.14,2.72,81
603477.SH,巨星农牧,1-3,今天1-3%，明天概率情况,1分钟,28.4,65.43,6.17,0.0,0.0,0.0,0.0,81
603477.SH,巨星农牧,1-3,今天1-3%，明天概率情况,5分钟,37.04,62.96,0.0,0.06,-0.08,0.05,0.0,81
603477.SH,巨星农牧,1-3,今天1-3%，明天概率情况,15分钟,40.74,59.26,0.0,0.08,-0.08,0.06,0.0,81
603477.SH,巨星农牧,1-3,今天1-3%，明天概率情况,30分钟,46.91,51.85,1.23,0.12,-0.08,0.12,0.0,81
603477.SH,巨星农牧,1-3,今天1-3%，明天概率情况,1小时,41.98,58.02,0.0,0.12,-0.08,0.12,0.0,81
603477.SH,巨星农牧,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,28.87,65.98,5.15,-0.38,-0.45,-0.41,3.52,97
603477.SH,巨星农牧,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,28.87,65.98,5.15,0.0,0.0,0.0,0.0,97
603477.SH,巨星农牧,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,41.24,56.7,2.06,0.05,-0.04,0.05,0.0,97
603477.SH,巨星农牧,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,43.3,53.61,3.09,0.05,-0.06,0.05,0.0,97
603477.SH,巨星农牧,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,47.42,51.55,1.03,0.07,-0.06,0.05,0.0,97
603477.SH,巨星农牧,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,47.42,50.52,2.06,0.08,-0.06,0.07,0.0,97
603477.SH,巨星农牧,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,32.32,53.54,14.14,-0.24,-0.24,-0.24,1.19,99
603477.SH,巨星农牧,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,32.32,54.55,13.13,0.0,0.0,0.0,0.0,99
603477.SH,巨星农牧,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,42.42,57.58,0.0,0.09,-0.04,0.08,0.0,99
603477.SH,巨星农牧,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,43.43,53.54,3.03,0.09,-0.05,0.06,0.0,99
603477.SH,巨星农牧,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,48.48,51.52,0.0,0.09,-0.08,0.04,0.0,99
603477.SH,巨星农牧,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,46.46,52.53,1.01,0.09,-0.08,0.07,0.0,99
603477.SH,巨星农牧,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,20.0,67.27,12.73,0.63,0.63,0.63,0.55,55
603477.SH,巨星农牧,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,20.0,67.27,12.73,0.0,0.0,0.0,0.0,55
603477.SH,巨星农牧,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,38.18,61.82,0.0,0.11,-0.13,0.1,0.0,55
603477.SH,巨星农牧,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,27.27,72.73,0.0,0.17,-0.13,0.17,0.0,55
603477.SH,巨星农牧,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,30.91,67.27,1.82,0.17,-0.13,0.14,0.0,55
603477.SH,巨星农牧,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1小时,38.18,61.82,0.0,0.17,-0.13,0.16,0.0,55
603477.SH,巨星农牧,5-7,今天5-7%，明天概率情况,竞价,33.33,53.33,13.33,0.0,-0.28,0.0,3.09,15
603477.SH,巨星农牧,5-7,今天5-7%，明天概率情况,1分钟,33.33,46.67,20.0,0.0,0.0,0.0,0.0,15
603477.SH,巨星农牧,5-7,今天5-7%，明天概率情况,5分钟,33.33,66.67,0.0,0.65,-0.3,0.59,0.0,15
603477.SH,巨星农牧,5-7,今天5-7%，明天概率情况,15分钟,46.67,53.33,0.0,0.67,-0.3,0.67,0.0,15
603477.SH,巨星农牧,5-7,今天5-7%，明天概率情况,30分钟,53.33,46.67,0.0,0.67,-0.3,0.67,0.0,15
603477.SH,巨星农牧,5-7,今天5-7%，明天概率情况,1小时,46.67,53.33,0.0,0.67,-0.31,0.67,0.0,15
603477.SH,巨星农牧,涨停,今天涨停()涨停，明天概率情况,竞价,50.0,33.33,16.67,0.72,0.53,0.72,9.01,6
603477.SH,巨星农牧,涨停,今天涨停()涨停，明天概率情况,1分钟,50.0,33.33,16.67,0.0,0.0,0.0,0.0,6
603477.SH,巨星农牧,涨停,今天涨停()涨停，明天概率情况,5分钟,50.0,50.0,0.0,1.67,-0.66,1.17,0.0,6
603477.SH,巨星农牧,涨停,今天涨停()涨停，明天概率情况,15分钟,66.67,16.67,16.67,1.67,-0.66,0.99,0.0,6
603477.SH,巨星农牧,涨停,今天涨停()涨停，明天概率情况,30分钟,83.33,16.67,0.0,1.67,-0.66,0.99,0.0,6
603477.SH,巨星农牧,涨停,今天涨停()涨停，明天概率情况,1小时,66.67,33.33,0.0,1.67,-0.66,1.16,0.0,6
603477.SH,巨星农牧,flat,今天平开(涨幅=0%)  ，明天概率情况,竞价,0.0,100.0,0.0,-0.12,-0.12,-0.12,0.24,2
603477.SH,巨星农牧,flat,今天平开(涨幅=0%)  ，明天概率情况,1分钟,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2
603477.SH,巨星农牧,flat,今天平开(涨幅=0%)  ，明天概率情况,5分钟,50.0,50.0,0.0,1.12,-0.71,1.06,0.0,2
603477.SH,巨星农牧,flat,今天平开(涨幅=0%)  ，明天概率情况,15分钟,50.0,50.0,0.0,1.6,-0.71,0.85,0.0,2
603477.SH,巨星农牧,flat,今天平开(涨幅=0%)  ，明天概率情况,30分钟,50.0,50.0,0.0,1.68,-0.71,1.52,0.0,2
603477.SH,巨星农牧,flat,今天平开(涨幅=0%)  ，明天概率情况,1小时,50.0,50.0,0.0,1.68,-0.71,1.35,0.0,2
603477.SH,巨星农牧,3-5,今天3-5%，明天概率情况,竞价,23.53,73.53,2.94,-1.43,-1.43,-1.43,0.93,34
603477.SH,巨星农牧,3-5,今天3-5%，明天概率情况,1分钟,23.53,73.53,2.94,0.0,0.0,0.0,0.0,34
603477.SH,巨星农牧,3-5,今天3-5%，明天概率情况,5分钟,23.53,76.47,0.0,0.16,-0.1,0.15,0.0,34
603477.SH,巨星农牧,3-5,今天3-5%，明天概率情况,15分钟,29.41,70.59,0.0,0.18,-0.14,0.12,0.0,34
603477.SH,巨星农牧,3-5,今天3-5%，明天概率情况,30分钟,20.59,79.41,0.0,0.18,-0.14,0.12,0.0,34
603477.SH,巨星农牧,3-5,今天3-5%，明天概率情况,1小时,26.47,73.53,0.0,0.18,-0.14,0.16,0.0,34
