股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
603693.SH,江苏新能,1-3,今天1-3%，明天概率情况,竞价,36.26,43.96,19.78,0.0,0.0,0.0,0.06,91
603693.SH,江苏新能,1-3,今天1-3%，明天概率情况,1分钟,37.36,42.86,19.78,0.0,0.0,0.0,0.0,91
603693.SH,江苏新能,1-3,今天1-3%，明天概率情况,5分钟,41.76,52.75,5.49,0.1,-0.05,0.09,0.0,91
603693.SH,江苏新能,1-3,今天1-3%，明天概率情况,15分钟,46.15,51.65,2.2,0.11,-0.05,0.11,0.0,91
603693.SH,江苏新能,1-3,今天1-3%，明天概率情况,30分钟,47.25,48.35,4.4,0.11,-0.05,0.11,0.0,91
603693.SH,江苏新能,1-3,今天1-3%，明天概率情况,1小时,43.96,53.85,2.2,0.11,-0.05,0.11,0.0,91
603693.SH,江苏新能,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,33.64,41.12,25.23,0.16,0.16,0.16,0.37,107
603693.SH,江苏新能,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,33.64,40.19,26.17,0.0,0.0,0.0,0.0,107
603693.SH,江苏新能,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,38.32,56.07,5.61,0.05,-0.03,0.02,0.0,107
603693.SH,江苏新能,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,40.19,53.27,6.54,0.05,-0.04,0.03,0.0,107
603693.SH,江苏新能,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,35.51,60.75,3.74,0.05,-0.04,0.03,0.0,107
603693.SH,江苏新能,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,45.79,53.27,0.93,0.05,-0.04,0.03,0.0,107
603693.SH,江苏新能,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,33.03,51.38,15.6,0.24,0.24,0.24,0.13,109
603693.SH,江苏新能,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,33.03,51.38,15.6,0.0,0.0,0.0,0.0,109
603693.SH,江苏新能,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,51.38,39.45,9.17,0.02,-0.07,0.02,0.0,109
603693.SH,江苏新能,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,51.38,44.95,3.67,0.03,-0.09,0.03,0.0,109
603693.SH,江苏新能,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,46.79,50.46,2.75,0.05,-0.09,0.03,0.0,109
603693.SH,江苏新能,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,55.05,41.28,3.67,0.05,-0.09,0.03,0.0,109
