股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
002803.SZ,吉宏股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,41.75,51.46,6.8,1.05,0.62,1.05,1.5,103
002803.SZ,吉宏股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,43.69,45.63,10.68,0.0,0.0,0.0,0.0,103
002803.SZ,吉宏股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,38.83,58.25,2.91,0.04,-0.05,0.04,0.0,103
002803.SZ,吉宏股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,44.66,52.43,2.91,0.06,-0.05,0.06,0.0,103
002803.SZ,吉宏股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,42.72,55.34,1.94,0.08,-0.06,0.05,0.0,103
002803.SZ,吉宏股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,53.4,45.63,0.97,0.1,-0.07,0.07,0.0,103
002803.SZ,吉宏股份,3-5,今天3-5%，明天概率情况,竞价,31.25,56.25,12.5,0.68,0.05,0.05,17.86,32
002803.SZ,吉宏股份,3-5,今天3-5%，明天概率情况,1分钟,34.38,62.5,3.12,0.0,0.0,0.0,0.0,32
002803.SZ,吉宏股份,3-5,今天3-5%，明天概率情况,5分钟,40.62,56.25,3.12,0.19,-0.21,0.15,0.0,32
002803.SZ,吉宏股份,3-5,今天3-5%，明天概率情况,15分钟,50.0,50.0,0.0,0.19,-0.21,0.07,0.0,32
002803.SZ,吉宏股份,3-5,今天3-5%，明天概率情况,30分钟,40.62,59.38,0.0,0.26,-0.22,0.09,0.0,32
002803.SZ,吉宏股份,3-5,今天3-5%，明天概率情况,1小时,40.62,59.38,0.0,0.26,-0.27,0.11,0.0,32
002803.SZ,吉宏股份,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,43.94,46.97,9.09,-1.41,-1.88,-1.82,4.06,66
002803.SZ,吉宏股份,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,42.42,51.52,6.06,0.0,0.0,0.0,0.0,66
002803.SZ,吉宏股份,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,46.97,48.48,4.55,0.15,-0.1,0.15,0.0,66
