股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
603165.SH,荣晟环保,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,34.86,47.71,17.43,1.02,1.02,1.02,1.48,109
603165.SH,荣晟环保,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,34.86,47.71,17.43,0.0,0.0,0.0,0.0,109
603165.SH,荣晟环保,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,50.46,46.79,2.75,0.06,-0.04,0.04,0.0,109
603165.SH,荣晟环保,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,38.53,54.13,7.34,0.06,-0.04,0.04,0.0,109
603165.SH,荣晟环保,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,41.28,57.8,0.92,0.09,-0.05,0.09,0.0,109
603165.SH,荣晟环保,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,48.62,49.54,1.83,0.09,-0.06,0.09,0.0,109
603165.SH,荣晟环保,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,41.24,40.21,18.56,-0.48,-0.48,-0.48,0.04,97
603165.SH,荣晟环保,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,41.24,41.24,17.53,0.0,0.0,0.0,0.0,97
603165.SH,荣晟环保,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,49.48,47.42,3.09,0.04,-0.03,0.04,0.0,97
603165.SH,荣晟环保,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,46.39,48.45,5.15,0.04,-0.04,0.04,0.0,97
603165.SH,荣晟环保,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,49.48,48.45,2.06,0.04,-0.04,0.04,0.0,97
603165.SH,荣晟环保,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,41.24,53.61,5.15,0.09,-0.04,0.08,0.0,97
603165.SH,荣晟环保,1-3,今天1-3%，明天概率情况,竞价,43.56,36.63,19.8,0.0,0.0,0.0,0.33,101
603165.SH,荣晟环保,1-3,今天1-3%，明天概率情况,1分钟,43.56,37.62,18.81,0.0,0.0,0.0,0.0,101
603165.SH,荣晟环保,1-3,今天1-3%，明天概率情况,5分钟,45.54,51.49,2.97,0.07,-0.06,0.07,0.0,101
603165.SH,荣晟环保,1-3,今天1-3%，明天概率情况,15分钟,49.5,44.55,5.94,0.08,-0.06,0.06,0.0,101
603165.SH,荣晟环保,1-3,今天1-3%，明天概率情况,30分钟,47.52,47.52,4.95,0.08,-0.06,0.06,0.0,101
603165.SH,荣晟环保,1-3,今天1-3%，明天概率情况,1小时,43.56,52.48,3.96,0.1,-0.07,0.1,0.0,101
603165.SH,荣晟环保,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,33.33,66.67,0.0,-0.36,-0.36,-0.36,3.82,9
603165.SH,荣晟环保,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,33.33,66.67,0.0,0.0,0.0,0.0,0.0,9
603165.SH,荣晟环保,large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,66.67,33.33,0.0,0.41,-0.41,0.4,0.0,9
603165.SH,荣晟环保,large_down,今天大跌(-5% ~ -3%)，明天概率情况,15分钟,66.67,33.33,0.0,0.67,-0.57,0.39,0.0,9
603165.SH,荣晟环保,large_down,今天大跌(-5% ~ -3%)，明天概率情况,30分钟,44.44,55.56,0.0,0.67,-0.57,0.44,0.0,9
603165.SH,荣晟环保,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1小时,55.56,33.33,11.11,0.67,-0.57,0.44,0.0,9
