股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
002788.SZ,鹭燕医药,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,37.5,42.86,19.64,0.11,-0.11,0.0,3.28,112
002788.SZ,鹭燕医药,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,42.86,43.75,13.39,0.0,0.0,0.0,0.0,112
002788.SZ,鹭燕医药,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,49.11,47.32,3.57,0.01,-0.03,0.01,0.0,112
002788.SZ,鹭燕医药,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,41.07,50.0,8.93,0.03,-0.03,0.02,0.0,112
002788.SZ,鹭燕医药,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,48.21,46.43,5.36,0.05,-0.03,0.04,0.0,112
002788.SZ,鹭燕医药,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,47.32,49.11,3.57,0.05,-0.04,0.03,0.0,112
002788.SZ,鹭燕医药,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,35.83,43.33,20.83,0.11,0.0,0.11,0.07,120
002788.SZ,鹭燕医药,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,37.7,49.18,13.11,0.0,0.0,0.0,0.0,122
002788.SZ,鹭燕医药,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,50.0,40.98,9.02,0.03,-0.03,0.02,0.0,122
002788.SZ,鹭燕医药,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,52.46,43.44,4.1,0.03,-0.03,0.02,0.0,122
002788.SZ,鹭燕医药,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,50.82,45.08,4.1,0.03,-0.03,0.03,0.0,122
002788.SZ,鹭燕医药,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,45.08,47.54,7.38,0.03,-0.04,0.03,0.0,122
002788.SZ,鹭燕医药,1-3,今天1-3%，明天概率情况,竞价,31.63,44.9,23.47,-0.23,-0.45,-0.23,0.79,98
002788.SZ,鹭燕医药,1-3,今天1-3%，明天概率情况,1分钟,36.73,48.98,14.29,0.0,0.0,0.0,0.0,98
002788.SZ,鹭燕医药,1-3,今天1-3%，明天概率情况,5分钟,44.9,45.92,9.18,0.05,-0.02,0.05,0.0,98
002788.SZ,鹭燕医药,1-3,今天1-3%，明天概率情况,15分钟,50.0,45.92,4.08,0.05,-0.03,0.04,0.0,98
002788.SZ,鹭燕医药,1-3,今天1-3%，明天概率情况,30分钟,55.1,43.88,1.02,0.05,-0.03,0.05,0.0,98
002788.SZ,鹭燕医药,1-3,今天1-3%，明天概率情况,1小时,51.02,44.9,4.08,0.08,-0.03,0.07,0.0,98
