股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
300284.SZ,苏交科,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,26.67,63.33,10.0,-0.16,-0.16,-0.16,1.43,30
300284.SZ,苏交科,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,30.0,60.0,10.0,0.0,0.0,0.0,0.0,30
300284.SZ,苏交科,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,40.0,60.0,0.0,0.15,-0.19,0.12,0.0,30
300284.SZ,苏交科,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,43.33,53.33,3.33,0.34,-0.22,0.26,0.0,30
300284.SZ,苏交科,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,46.67,50.0,3.33,0.34,-0.3,0.2,0.0,30
300284.SZ,苏交科,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1小时,46.67,53.33,0.0,0.34,-0.3,0.23,0.0,30
300284.SZ,苏交科,1-3,今天1-3%，明天概率情况,竞价,37.66,54.55,7.79,-0.96,-0.96,-0.96,0.86,77
300284.SZ,苏交科,1-3,今天1-3%，明天概率情况,1分钟,37.66,55.84,6.49,0.0,0.0,0.0,0.0,77
300284.SZ,苏交科,1-3,今天1-3%，明天概率情况,5分钟,40.26,51.95,7.79,0.1,-0.21,0.09,0.0,77
300284.SZ,苏交科,1-3,今天1-3%，明天概率情况,15分钟,40.26,57.14,2.6,0.1,-0.21,0.09,0.0,77
300284.SZ,苏交科,1-3,今天1-3%，明天概率情况,30分钟,41.56,55.84,2.6,0.1,-0.21,0.09,0.0,77
300284.SZ,苏交科,1-3,今天1-3%，明天概率情况,1小时,41.56,57.14,1.3,0.1,-0.21,0.08,0.0,77
300284.SZ,苏交科,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,28.0,62.0,10.0,-0.5,-0.5,-0.5,0.93,100
300284.SZ,苏交科,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,29.0,60.0,11.0,0.0,0.0,0.0,0.0,100
300284.SZ,苏交科,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,41.0,51.0,8.0,0.05,-0.03,0.04,0.0,100
300284.SZ,苏交科,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,44.0,49.0,7.0,0.06,-0.05,0.06,0.0,100
300284.SZ,苏交科,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,46.0,50.0,4.0,0.08,-0.06,0.05,0.0,100
300284.SZ,苏交科,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,43.0,55.0,2.0,0.2,-0.09,0.2,0.0,100
300284.SZ,苏交科,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,29.21,56.18,14.61,0.17,0.17,0.17,0.26,89
300284.SZ,苏交科,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,31.46,56.18,12.36,0.0,0.0,0.0,0.0,89
