股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
300260.SZ,新莱应材,涨停,今天涨停()涨停，明天概率情况,竞价,45.45,54.55,0.0,0.23,0.23,0.23,5.58,11
300260.SZ,新莱应材,涨停,今天涨停()涨停，明天概率情况,1分钟,54.55,36.36,9.09,0.0,0.0,0.0,0.0,11
300260.SZ,新莱应材,涨停,今天涨停()涨停，明天概率情况,5分钟,54.55,45.45,0.0,1.82,-0.71,1.61,0.0,11
300260.SZ,新莱应材,涨停,今天涨停()涨停，明天概率情况,15分钟,45.45,54.55,0.0,1.82,-0.71,1.29,0.0,11
300260.SZ,新莱应材,涨停,今天涨停()涨停，明天概率情况,30分钟,45.45,54.55,0.0,1.82,-0.71,1.76,0.0,11
300260.SZ,新莱应材,涨停,今天涨停()涨停，明天概率情况,1小时,45.45,54.55,0.0,1.82,-0.71,1.42,0.0,11
300260.SZ,新莱应材,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,28.81,62.71,8.47,-1.6,-1.6,-1.6,2.09,59
300260.SZ,新莱应材,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,33.9,62.71,3.39,0.0,0.0,0.0,0.0,59
300260.SZ,新莱应材,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,47.46,50.85,1.69,0.17,-0.06,0.14,0.0,59
300260.SZ,新莱应材,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,44.07,55.93,0.0,0.17,-0.06,0.12,0.0,59
300260.SZ,新莱应材,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,50.85,49.15,0.0,0.21,-0.06,0.16,0.0,59
300260.SZ,新莱应材,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,49.15,50.85,0.0,0.25,-0.08,0.19,0.0,59
300260.SZ,新莱应材,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,41.07,50.0,8.93,-0.06,-0.06,-0.06,6.02,56
300260.SZ,新莱应材,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,51.79,42.86,5.36,0.0,0.0,0.0,0.0,56
300260.SZ,新莱应材,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,44.64,55.36,0.0,0.08,-0.09,0.05,0.0,56
300260.SZ,新莱应材,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,37.5,58.93,3.57,0.08,-0.1,0.07,0.0,56
300260.SZ,新莱应材,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,44.64,55.36,0.0,0.08,-0.1,0.06,0.0,56
300260.SZ,新莱应材,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,42.86,57.14,0.0,0.08,-0.1,0.08,0.0,56
300260.SZ,新莱应材,1-3,今天1-3%，明天概率情况,竞价,31.33,60.24,8.43,0.08,0.08,0.08,4.66,83
300260.SZ,新莱应材,1-3,今天1-3%，明天概率情况,1分钟,33.73,60.24,6.02,0.0,0.0,0.0,0.0,83
