股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
300278.SZ,华昌达,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,38.61,44.55,16.83,-0.91,-0.91,-0.91,0.25,101
300278.SZ,华昌达,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,41.58,42.57,15.84,0.0,0.0,0.0,0.0,101
300278.SZ,华昌达,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,52.48,38.61,8.91,0.06,-0.04,0.04,0.0,101
300278.SZ,华昌达,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,52.48,37.62,9.9,0.06,-0.05,0.06,0.0,101
300278.SZ,华昌达,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,47.52,41.58,10.89,0.1,-0.06,0.06,0.0,101
300278.SZ,华昌达,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,52.48,38.61,8.91,0.16,-0.06,0.15,0.0,101
300278.SZ,华昌达,1-3,今天1-3%，明天概率情况,竞价,27.72,56.44,15.84,-0.67,-0.67,-0.67,0.31,101
300278.SZ,华昌达,1-3,今天1-3%，明天概率情况,1分钟,28.71,58.42,12.87,0.0,0.0,0.0,0.0,101
300278.SZ,华昌达,1-3,今天1-3%，明天概率情况,5分钟,36.63,53.47,9.9,0.1,-0.04,0.07,0.0,101
300278.SZ,华昌达,1-3,今天1-3%，明天概率情况,15分钟,39.6,53.47,6.93,0.2,-0.05,0.2,0.0,101
300278.SZ,华昌达,1-3,今天1-3%，明天概率情况,30分钟,39.6,50.5,9.9,0.2,-0.09,0.2,0.0,101
300278.SZ,华昌达,1-3,今天1-3%，明天概率情况,1小时,42.57,45.54,11.88,0.2,-0.12,0.2,0.0,101
300278.SZ,华昌达,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,20.31,51.56,28.12,-0.46,-0.46,-0.46,0.33,64
300278.SZ,华昌达,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,25.0,53.12,21.88,0.0,0.0,0.0,0.0,64
300278.SZ,华昌达,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,42.19,45.31,12.5,0.05,-0.04,0.04,0.0,64
300278.SZ,华昌达,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,39.06,50.0,10.94,0.06,-0.08,0.05,0.0,64
300278.SZ,华昌达,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,45.31,50.0,4.69,0.08,-0.08,0.05,0.0,64
300278.SZ,华昌达,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,42.19,50.0,7.81,0.15,-0.08,0.1,0.0,64
300278.SZ,华昌达,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,45.45,45.45,9.09,-1.04,-1.04,-1.04,2.54,22
300278.SZ,华昌达,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,50.0,50.0,0.0,0.0,0.0,0.0,0.0,22
300278.SZ,华昌达,large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,45.45,54.55,0.0,0.87,-0.45,0.6,0.0,22
300278.SZ,华昌达,large_down,今天大跌(-5% ~ -3%)，明天概率情况,15分钟,36.36,59.09,4.55,0.87,-0.45,0.56,0.0,22
300278.SZ,华昌达,large_down,今天大跌(-5% ~ -3%)，明天概率情况,30分钟,40.91,59.09,0.0,0.87,-0.45,0.53,0.0,22
300278.SZ,华昌达,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1小时,59.09,40.91,0.0,0.87,-0.45,0.56,0.0,22
300278.SZ,华昌达,5-7,今天5-7%，明天概率情况,竞价,25.0,75.0,0.0,-0.77,-0.77,-0.77,0.56,8
300278.SZ,华昌达,5-7,今天5-7%，明天概率情况,1分钟,25.0,75.0,0.0,0.0,0.0,0.0,0.0,8
