股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
603887.SH,城地香江,7-9,今天7-9%，明天概率情况,竞价,54.55,45.45,0.0,-2.97,-2.97,-2.97,5.44,11
603887.SH,城地香江,7-9,今天7-9%，明天概率情况,1分钟,54.55,45.45,0.0,0.0,0.0,0.0,0.0,11
603887.SH,城地香江,7-9,今天7-9%，明天概率情况,5分钟,63.64,36.36,0.0,0.92,-0.38,0.92,0.0,11
603887.SH,城地香江,7-9,今天7-9%，明天概率情况,15分钟,45.45,54.55,0.0,0.92,-0.44,0.92,0.0,11
603887.SH,城地香江,7-9,今天7-9%，明天概率情况,30分钟,63.64,36.36,0.0,0.92,-0.44,0.92,0.0,11
603887.SH,城地香江,7-9,今天7-9%，明天概率情况,1小时,63.64,36.36,0.0,0.92,-0.44,0.92,0.0,11
603887.SH,城地香江,1-3,今天1-3%，明天概率情况,竞价,39.18,48.45,12.37,-0.84,-0.84,-0.84,0.41,97
603887.SH,城地香江,1-3,今天1-3%，明天概率情况,1分钟,38.14,49.48,12.37,0.0,0.0,0.0,0.0,97
603887.SH,城地香江,1-3,今天1-3%，明天概率情况,5分钟,46.39,48.45,5.15,0.1,-0.07,0.1,0.0,97
603887.SH,城地香江,1-3,今天1-3%，明天概率情况,15分钟,49.48,43.3,7.22,0.1,-0.07,0.1,0.0,97
603887.SH,城地香江,1-3,今天1-3%，明天概率情况,30分钟,48.45,46.39,5.15,0.1,-0.1,0.1,0.0,97
603887.SH,城地香江,1-3,今天1-3%，明天概率情况,1小时,49.48,47.42,3.09,0.1,-0.1,0.1,0.0,97
603887.SH,城地香江,涨停,今天涨停()涨停，明天概率情况,竞价,77.78,18.52,3.7,9.09,9.09,9.09,27.42,27
603887.SH,城地香江,涨停,今天涨停()涨停，明天概率情况,1分钟,77.78,18.52,3.7,0.0,0.0,0.0,0.0,27
603887.SH,城地香江,涨停,今天涨停()涨停，明天概率情况,5分钟,74.07,25.93,0.0,0.37,-0.31,0.37,0.0,27
603887.SH,城地香江,涨停,今天涨停()涨停，明天概率情况,15分钟,70.37,29.63,0.0,0.37,-0.31,0.37,0.0,27
603887.SH,城地香江,涨停,今天涨停()涨停，明天概率情况,30分钟,66.67,33.33,0.0,0.37,-0.31,0.37,0.0,27
603887.SH,城地香江,涨停,今天涨停()涨停，明天概率情况,1小时,74.07,25.93,0.0,0.37,-0.31,0.37,0.0,27
603887.SH,城地香江,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,28.57,60.0,11.43,-3.1,-3.1,-3.1,11.54,35
603887.SH,城地香江,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,28.57,60.0,11.43,0.0,0.0,0.0,0.0,35
603887.SH,城地香江,large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,48.57,51.43,0.0,0.29,-0.29,0.29,0.0,35
603887.SH,城地香江,large_down,今天大跌(-5% ~ -3%)，明天概率情况,15分钟,51.43,45.71,2.86,0.29,-0.29,0.29,0.0,35
603887.SH,城地香江,large_down,今天大跌(-5% ~ -3%)，明天概率情况,30分钟,45.71,54.29,0.0,0.29,-0.29,0.29,0.0,35
603887.SH,城地香江,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1小时,42.86,54.29,2.86,0.29,-0.29,0.29,0.0,35
603887.SH,城地香江,5-7,今天5-7%，明天概率情况,竞价,60.0,40.0,0.0,0.12,0.12,0.12,0.93,15
603887.SH,城地香江,5-7,今天5-7%，明天概率情况,1分钟,60.0,40.0,0.0,0.0,0.0,0.0,0.0,15
603887.SH,城地香江,5-7,今天5-7%，明天概率情况,5分钟,46.67,53.33,0.0,0.67,-0.26,0.49,0.0,15
603887.SH,城地香江,5-7,今天5-7%，明天概率情况,15分钟,40.0,60.0,0.0,0.67,-0.45,0.36,0.0,15
603887.SH,城地香江,5-7,今天5-7%，明天概率情况,30分钟,46.67,53.33,0.0,0.67,-0.52,0.66,0.0,15
603887.SH,城地香江,5-7,今天5-7%，明天概率情况,1小时,53.33,46.67,0.0,0.67,-0.52,0.67,0.0,15
603887.SH,城地香江,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,30.0,54.0,16.0,0.0,0.0,0.0,0.07,50
603887.SH,城地香江,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,30.0,54.0,16.0,0.0,0.0,0.0,0.0,50
603887.SH,城地香江,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,42.0,54.0,4.0,0.2,-0.2,0.2,0.0,50
603887.SH,城地香江,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,48.0,44.0,8.0,0.2,-0.2,0.2,0.0,50
603887.SH,城地香江,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,48.0,46.0,6.0,0.2,-0.2,0.2,0.0,50
603887.SH,城地香江,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,46.0,52.0,2.0,0.2,-0.2,0.2,0.0,50
603887.SH,城地香江,3-5,今天3-5%，明天概率情况,竞价,42.11,52.63,5.26,-0.85,-0.85,-0.85,0.44,38
603887.SH,城地香江,3-5,今天3-5%，明天概率情况,1分钟,42.11,52.63,5.26,0.0,0.0,0.0,0.0,38
603887.SH,城地香江,3-5,今天3-5%，明天概率情况,5分钟,52.63,47.37,0.0,0.22,-0.1,0.17,0.0,38
603887.SH,城地香江,3-5,今天3-5%，明天概率情况,15分钟,55.26,39.47,5.26,0.22,-0.1,0.16,0.0,38
603887.SH,城地香江,3-5,今天3-5%，明天概率情况,30分钟,60.53,39.47,0.0,0.22,-0.11,0.17,0.0,38
603887.SH,城地香江,3-5,今天3-5%，明天概率情况,1小时,55.26,42.11,2.63,0.25,-0.11,0.25,0.0,38
603887.SH,城地香江,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,31.63,51.02,17.35,2.33,2.33,2.33,0.64,98
603887.SH,城地香江,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,32.65,51.02,16.33,0.0,0.0,0.0,0.0,98
603887.SH,城地香江,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,36.73,56.12,7.14,0.05,-0.09,0.05,0.0,98
603887.SH,城地香江,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,38.78,59.18,2.04,0.07,-0.1,0.05,0.0,98
