股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
300331.SZ,苏大维格,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,29.03,64.52,6.45,-1.61,-1.61,-1.61,2.92,93
300331.SZ,苏大维格,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,31.18,61.29,7.53,0.0,0.0,0.0,0.0,93
300331.SZ,苏大维格,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,44.09,55.91,0.0,0.07,-0.09,0.04,0.0,93
300331.SZ,苏大维格,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,43.01,53.76,3.23,0.07,-0.09,0.04,0.0,93
300331.SZ,苏大维格,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,38.71,60.22,1.08,0.07,-0.09,0.04,0.0,93
300331.SZ,苏大维格,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,43.01,56.99,0.0,0.07,-0.1,0.05,0.0,93
300331.SZ,苏大维格,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,35.29,54.9,9.8,-1.46,-1.46,-1.46,1.32,51
300331.SZ,苏大维格,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,31.37,58.82,9.8,0.0,0.0,0.0,0.0,51
300331.SZ,苏大维格,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,45.1,54.9,0.0,0.12,-0.06,0.06,0.0,51
300331.SZ,苏大维格,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,47.06,52.94,0.0,0.12,-0.08,0.08,0.0,51
300331.SZ,苏大维格,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,43.14,54.9,1.96,0.12,-0.08,0.09,0.0,51
300331.SZ,苏大维格,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,43.14,54.9,1.96,0.14,-0.08,0.11,0.0,51
300331.SZ,苏大维格,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,41.94,48.39,9.68,0.0,0.0,0.0,1.45,62
300331.SZ,苏大维格,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,45.16,51.61,3.23,0.0,0.0,0.0,0.0,62
300331.SZ,苏大维格,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,58.06,37.1,4.84,0.1,-0.09,0.07,0.0,62
300331.SZ,苏大维格,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,59.68,33.87,6.45,0.1,-0.09,0.07,0.0,62
300331.SZ,苏大维格,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,51.61,45.16,3.23,0.11,-0.09,0.11,0.0,62
300331.SZ,苏大维格,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,45.16,54.84,0.0,0.12,-0.1,0.08,0.0,62
300331.SZ,苏大维格,3-5,今天3-5%，明天概率情况,竞价,37.5,58.33,4.17,-2.9,-2.9,-2.9,6.27,48
300331.SZ,苏大维格,3-5,今天3-5%，明天概率情况,1分钟,41.67,56.25,2.08,0.0,0.0,0.0,0.0,48
300331.SZ,苏大维格,3-5,今天3-5%，明天概率情况,5分钟,45.83,54.17,0.0,0.21,-0.13,0.14,0.0,48
300331.SZ,苏大维格,3-5,今天3-5%，明天概率情况,15分钟,39.58,58.33,2.08,0.21,-0.13,0.13,0.0,48
300331.SZ,苏大维格,3-5,今天3-5%，明天概率情况,30分钟,54.17,45.83,0.0,0.26,-0.13,0.2,0.0,48
300331.SZ,苏大维格,3-5,今天3-5%，明天概率情况,1小时,45.83,54.17,0.0,0.26,-0.13,0.17,0.0,48
300331.SZ,苏大维格,1-3,今天1-3%，明天概率情况,竞价,38.83,53.4,7.77,0.71,0.71,0.71,7.96,103
300331.SZ,苏大维格,1-3,今天1-3%，明天概率情况,1分钟,39.81,54.37,5.83,0.0,0.0,0.0,0.0,103
300331.SZ,苏大维格,1-3,今天1-3%，明天概率情况,5分钟,43.69,53.4,2.91,0.11,-0.13,0.1,0.0,103
300331.SZ,苏大维格,1-3,今天1-3%，明天概率情况,15分钟,44.66,55.34,0.0,0.13,-0.13,0.07,0.0,103
300331.SZ,苏大维格,1-3,今天1-3%，明天概率情况,30分钟,49.51,49.51,0.97,0.13,-0.13,0.07,0.0,103
300331.SZ,苏大维格,1-3,今天1-3%，明天概率情况,1小时,54.37,44.66,0.97,0.13,-0.13,0.07,0.0,103
300331.SZ,苏大维格,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,48.48,42.42,9.09,0.04,0.04,0.04,0.74,33
300331.SZ,苏大维格,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,54.55,36.36,9.09,0.0,0.0,0.0,0.0,33
300331.SZ,苏大维格,large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,54.55,42.42,3.03,0.2,-0.22,0.17,0.0,33
300331.SZ,苏大维格,large_down,今天大跌(-5% ~ -3%)，明天概率情况,15分钟,54.55,45.45,0.0,0.21,-0.26,0.21,0.0,33
300331.SZ,苏大维格,large_down,今天大跌(-5% ~ -3%)，明天概率情况,30分钟,45.45,54.55,0.0,0.26,-0.33,0.25,0.0,33
300331.SZ,苏大维格,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1小时,45.45,51.52,3.03,0.29,-0.41,0.28,0.0,33
300331.SZ,苏大维格,5-7,今天5-7%，明天概率情况,竞价,47.37,52.63,0.0,0.85,0.85,0.85,2.24,19
300331.SZ,苏大维格,5-7,今天5-7%，明天概率情况,1分钟,47.37,52.63,0.0,0.0,0.0,0.0,0.0,19
300331.SZ,苏大维格,5-7,今天5-7%，明天概率情况,5分钟,42.11,52.63,5.26,0.46,-0.28,0.28,0.0,19
300331.SZ,苏大维格,5-7,今天5-7%，明天概率情况,15分钟,63.16,36.84,0.0,0.46,-0.45,0.16,0.0,19
300331.SZ,苏大维格,5-7,今天5-7%，明天概率情况,30分钟,73.68,26.32,0.0,0.46,-0.49,0.4,0.0,19
300331.SZ,苏大维格,5-7,今天5-7%，明天概率情况,1小时,68.42,31.58,0.0,0.51,-0.51,0.24,0.0,19
300331.SZ,苏大维格,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,26.32,64.91,8.77,-0.12,-0.12,-0.12,0.37,57
300331.SZ,苏大维格,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,26.32,64.91,8.77,0.0,0.0,0.0,0.0,57
300331.SZ,苏大维格,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,38.6,59.65,1.75,0.2,-0.07,0.16,0.0,57
300331.SZ,苏大维格,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,42.11,56.14,1.75,0.2,-0.09,0.13,0.0,57
300331.SZ,苏大维格,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,49.12,50.88,0.0,0.2,-0.13,0.14,0.0,57
300331.SZ,苏大维格,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1小时,47.37,52.63,0.0,0.2,-0.13,0.15,0.0,57
300331.SZ,苏大维格,7-9,今天7-9%，明天概率情况,竞价,30.0,70.0,0.0,-1.47,-1.47,-1.47,8.65,10
300331.SZ,苏大维格,7-9,今天7-9%，明天概率情况,1分钟,30.0,70.0,0.0,0.0,0.0,0.0,0.0,10
300331.SZ,苏大维格,7-9,今天7-9%，明天概率情况,5分钟,30.0,70.0,0.0,0.52,-0.49,0.49,0.0,10
300331.SZ,苏大维格,7-9,今天7-9%，明天概率情况,15分钟,40.0,60.0,0.0,0.52,-0.49,0.28,0.0,10
300331.SZ,苏大维格,7-9,今天7-9%，明天概率情况,30分钟,40.0,60.0,0.0,0.52,-0.49,0.42,0.0,10
300331.SZ,苏大维格,7-9,今天7-9%，明天概率情况,1小时,60.0,40.0,0.0,0.52,-0.49,0.44,0.0,10
300331.SZ,苏大维格,涨停,今天涨停()涨停，明天概率情况,竞价,42.86,57.14,0.0,-2.21,-2.21,-2.21,10.07,7
300331.SZ,苏大维格,涨停,今天涨停()涨停，明天概率情况,1分钟,42.86,57.14,0.0,0.0,0.0,0.0,0.0,7
300331.SZ,苏大维格,涨停,今天涨停()涨停，明天概率情况,5分钟,42.86,57.14,0.0,2.86,-1.13,2.66,0.0,7
300331.SZ,苏大维格,涨停,今天涨停()涨停，明天概率情况,15分钟,42.86,57.14,0.0,2.86,-1.13,2.27,0.0,7
300331.SZ,苏大维格,涨停,今天涨停()涨停，明天概率情况,30分钟,57.14,42.86,0.0,2.86,-1.35,2.79,0.0,7
300331.SZ,苏大维格,涨停,今天涨停()涨停，明天概率情况,1小时,57.14,42.86,0.0,2.86,-1.55,2.67,0.0,7
