股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
300250.SZ,初灵信息,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,39.53,47.67,12.79,-2.05,-2.05,-2.05,15.83,86
300250.SZ,初灵信息,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,38.37,51.16,10.47,0.0,0.0,0.0,0.0,86
300250.SZ,初灵信息,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,43.02,53.49,3.49,0.09,-0.06,0.06,0.0,86
300250.SZ,初灵信息,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,47.67,50.0,2.33,0.09,-0.06,0.04,0.0,86
300250.SZ,初灵信息,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,45.35,53.49,1.16,0.09,-0.07,0.05,0.0,86
300250.SZ,初灵信息,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,44.19,52.33,3.49,0.11,-0.08,0.08,0.0,86
300250.SZ,初灵信息,3-5,今天3-5%，明天概率情况,竞价,25.53,59.57,14.89,-1.0,-1.0,-1.0,21.84,47
300250.SZ,初灵信息,3-5,今天3-5%，明天概率情况,1分钟,21.28,63.83,14.89,0.0,0.0,0.0,0.0,47
300250.SZ,初灵信息,3-5,今天3-5%，明天概率情况,5分钟,46.81,53.19,0.0,0.21,-0.19,0.2,0.0,47
300250.SZ,初灵信息,3-5,今天3-5%，明天概率情况,15分钟,46.81,48.94,4.26,0.22,-0.33,0.19,0.0,47
300250.SZ,初灵信息,3-5,今天3-5%，明天概率情况,30分钟,42.55,55.32,2.13,0.22,-0.33,0.13,0.0,47
300250.SZ,初灵信息,3-5,今天3-5%，明天概率情况,1小时,53.19,40.43,6.38,0.22,-0.33,0.14,0.0,47
300250.SZ,初灵信息,7-9,今天7-9%，明天概率情况,竞价,33.33,66.67,0.0,0.38,0.38,0.38,22.57,6
300250.SZ,初灵信息,7-9,今天7-9%，明天概率情况,1分钟,33.33,66.67,0.0,0.0,0.0,0.0,0.0,6
300250.SZ,初灵信息,7-9,今天7-9%，明天概率情况,5分钟,0.0,100.0,0.0,0.53,-0.59,0.0,0.0,6
300250.SZ,初灵信息,7-9,今天7-9%，明天概率情况,15分钟,33.33,66.67,0.0,1.15,-0.94,0.7,0.0,6
300250.SZ,初灵信息,7-9,今天7-9%，明天概率情况,30分钟,50.0,50.0,0.0,1.4,-0.94,1.24,0.0,6
300250.SZ,初灵信息,7-9,今天7-9%，明天概率情况,1小时,50.0,50.0,0.0,1.4,-0.94,0.69,0.0,6
300250.SZ,初灵信息,1-3,今天1-3%，明天概率情况,竞价,30.11,63.44,6.45,0.38,0.38,0.38,10.67,93
300250.SZ,初灵信息,1-3,今天1-3%，明天概率情况,1分钟,31.18,64.52,4.3,0.0,0.0,0.0,0.0,93
300250.SZ,初灵信息,1-3,今天1-3%，明天概率情况,5分钟,36.56,59.14,4.3,0.09,-0.05,0.03,0.0,93
300250.SZ,初灵信息,1-3,今天1-3%，明天概率情况,15分钟,41.94,56.99,1.08,0.09,-0.05,0.04,0.0,93
300250.SZ,初灵信息,1-3,今天1-3%，明天概率情况,30分钟,39.78,58.06,2.15,0.09,-0.06,0.07,0.0,93
300250.SZ,初灵信息,1-3,今天1-3%，明天概率情况,1小时,45.16,53.76,1.08,0.2,-0.09,0.17,0.0,93
300250.SZ,初灵信息,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,31.91,61.7,6.38,-2.76,-2.76,-2.76,8.53,47
300250.SZ,初灵信息,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,38.3,55.32,6.38,0.0,0.0,0.0,0.0,47
300250.SZ,初灵信息,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,53.19,42.55,4.26,0.13,-0.1,0.11,0.0,47
300250.SZ,初灵信息,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,61.7,38.3,0.0,0.18,-0.14,0.12,0.0,47
300250.SZ,初灵信息,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,57.45,42.55,0.0,0.2,-0.17,0.13,0.0,47
300250.SZ,初灵信息,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,53.19,46.81,0.0,0.2,-0.17,0.14,0.0,47
300250.SZ,初灵信息,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,40.48,52.38,7.14,0.79,0.79,0.79,3.94,42
300250.SZ,初灵信息,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,52.38,45.24,2.38,0.0,0.0,0.0,0.0,42
300250.SZ,初灵信息,large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,54.76,45.24,0.0,0.23,-0.15,0.16,0.0,42
300250.SZ,初灵信息,large_down,今天大跌(-5% ~ -3%)，明天概率情况,15分钟,57.14,42.86,0.0,0.36,-0.19,0.32,0.0,42
300250.SZ,初灵信息,large_down,今天大跌(-5% ~ -3%)，明天概率情况,30分钟,54.76,42.86,2.38,0.36,-0.27,0.2,0.0,42
300250.SZ,初灵信息,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1小时,57.14,40.48,2.38,0.36,-0.32,0.21,0.0,42
300250.SZ,初灵信息,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,32.79,54.1,13.11,-0.17,-0.17,-0.17,5.43,61
300250.SZ,初灵信息,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,36.07,55.74,8.2,0.0,0.0,0.0,0.0,61
300250.SZ,初灵信息,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,55.74,42.62,1.64,0.09,-0.08,0.06,0.0,61
300250.SZ,初灵信息,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,60.66,39.34,0.0,0.3,-0.16,0.18,0.0,61
300250.SZ,初灵信息,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,62.3,37.7,0.0,0.3,-0.16,0.19,0.0,61
300250.SZ,初灵信息,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1小时,59.02,40.98,0.0,0.3,-0.16,0.18,0.0,61
300250.SZ,初灵信息,5-7,今天5-7%，明天概率情况,竞价,38.89,50.0,11.11,1.22,1.22,1.22,9.57,36
300250.SZ,初灵信息,5-7,今天5-7%，明天概率情况,1分钟,38.89,52.78,8.33,0.0,0.0,0.0,0.0,36
300250.SZ,初灵信息,5-7,今天5-7%，明天概率情况,5分钟,33.33,66.67,0.0,0.2,-0.17,0.15,0.0,36
300250.SZ,初灵信息,5-7,今天5-7%，明天概率情况,15分钟,50.0,47.22,2.78,0.21,-0.17,0.21,0.0,36
300250.SZ,初灵信息,5-7,今天5-7%，明天概率情况,30分钟,41.67,55.56,2.78,0.47,-0.17,0.42,0.0,36
300250.SZ,初灵信息,5-7,今天5-7%，明天概率情况,1小时,50.0,50.0,0.0,0.56,-0.2,0.56,0.0,36
300250.SZ,初灵信息,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,31.48,57.41,11.11,0.05,0.05,0.05,20.32,54
300250.SZ,初灵信息,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,31.48,61.11,7.41,0.0,0.0,0.0,0.0,54
300250.SZ,初灵信息,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,44.44,51.85,3.7,0.08,-0.07,0.08,0.0,54
300250.SZ,初灵信息,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,44.44,51.85,3.7,0.09,-0.09,0.06,0.0,54
300250.SZ,初灵信息,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,44.44,51.85,3.7,0.1,-0.14,0.06,0.0,54
300250.SZ,初灵信息,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,50.0,50.0,0.0,0.15,-0.14,0.11,0.0,54
300250.SZ,初灵信息,涨停,今天涨停()涨停，明天概率情况,竞价,66.67,33.33,0.0,-4.0,-4.0,-4.0,62.36,9
300250.SZ,初灵信息,涨停,今天涨停()涨停，明天概率情况,1分钟,44.44,44.44,11.11,0.0,0.0,0.0,0.0,9
300250.SZ,初灵信息,涨停,今天涨停()涨停，明天概率情况,5分钟,33.33,66.67,0.0,2.12,-0.99,1.67,0.0,9
300250.SZ,初灵信息,涨停,今天涨停()涨停，明天概率情况,15分钟,33.33,66.67,0.0,2.12,-0.99,1.53,0.0,9
300250.SZ,初灵信息,涨停,今天涨停()涨停，明天概率情况,30分钟,44.44,55.56,0.0,2.12,-0.99,1.68,0.0,9
300250.SZ,初灵信息,涨停,今天涨停()涨停，明天概率情况,1小时,33.33,66.67,0.0,2.12,-0.99,1.54,0.0,9
300250.SZ,初灵信息,flat,今天平开(涨幅=0%)  ，明天概率情况,竞价,100.0,0.0,0.0,0.85,0.59,0.85,2.83,2
300250.SZ,初灵信息,flat,今天平开(涨幅=0%)  ，明天概率情况,1分钟,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300250.SZ,初灵信息,flat,今天平开(涨幅=0%)  ，明天概率情况,5分钟,100.0,0.0,0.0,1.52,0.0,0.85,0.0,2
300250.SZ,初灵信息,flat,今天平开(涨幅=0%)  ，明天概率情况,15分钟,100.0,0.0,0.0,1.52,0.0,0.88,0.0,2
300250.SZ,初灵信息,flat,今天平开(涨幅=0%)  ，明天概率情况,30分钟,100.0,0.0,0.0,1.52,0.0,0.69,0.0,2
300250.SZ,初灵信息,flat,今天平开(涨幅=0%)  ，明天概率情况,1小时,100.0,0.0,0.0,1.52,0.0,0.46,0.0,2
