股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
002269.SZ,美邦服饰,1-3,今天1-3%，明天概率情况,竞价,8.64,54.32,37.04,0.0,-0.54,0.0,1.57,81
002269.SZ,美邦服饰,1-3,今天1-3%，明天概率情况,1分钟,13.75,46.25,40.0,0.0,0.0,0.0,0.0,80
002269.SZ,美邦服饰,1-3,今天1-3%，明天概率情况,5分钟,23.75,50.0,26.25,0.1,-0.07,0.07,0.0,80
002269.SZ,美邦服饰,1-3,今天1-3%，明天概率情况,15分钟,31.25,55.0,13.75,0.11,-0.08,0.11,0.0,80
002269.SZ,美邦服饰,1-3,今天1-3%，明天概率情况,30分钟,36.25,45.0,18.75,0.13,-0.1,0.12,0.0,80
002269.SZ,美邦服饰,1-3,今天1-3%，明天概率情况,1小时,36.25,47.5,16.25,0.13,-0.11,0.13,0.0,80
002269.SZ,美邦服饰,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,16.22,35.14,48.65,0.0,0.0,0.0,0.41,74
002269.SZ,美邦服饰,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,17.81,39.73,42.47,0.0,0.0,0.0,0.0,73
002269.SZ,美邦服饰,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,23.29,64.38,12.33,0.08,-0.14,0.07,0.0,73
002269.SZ,美邦服饰,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,27.4,63.01,9.59,0.12,-0.14,0.09,0.0,73
002269.SZ,美邦服饰,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,26.03,54.79,19.18,0.14,-0.14,0.11,0.0,73
002269.SZ,美邦服饰,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,28.77,61.64,9.59,0.14,-0.14,0.13,0.0,73
002269.SZ,美邦服饰,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,27.78,42.06,30.16,-0.52,-1.05,-0.52,2.08,126
002269.SZ,美邦服饰,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,32.26,41.94,25.81,0.0,0.0,0.0,0.0,124
002269.SZ,美邦服饰,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,33.06,48.39,18.55,0.05,-0.07,0.03,0.0,124
002269.SZ,美邦服饰,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,37.1,46.77,16.13,0.07,-0.07,0.06,0.0,124
002269.SZ,美邦服饰,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,39.52,44.35,16.13,0.08,-0.08,0.06,0.0,124
002269.SZ,美邦服饰,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,44.35,41.94,13.71,0.08,-0.08,0.08,0.0,124
002269.SZ,美邦服饰,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,8.7,69.57,21.74,-1.09,-1.63,-1.09,14.06,23
002269.SZ,美邦服饰,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,25.0,70.83,4.17,0.0,0.0,0.0,0.0,24
002269.SZ,美邦服饰,large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,25.0,66.67,8.33,0.22,-0.42,0.17,0.0,24
002269.SZ,美邦服饰,large_down,今天大跌(-5% ~ -3%)，明天概率情况,15分钟,33.33,62.5,4.17,0.42,-0.42,0.42,0.0,24
002269.SZ,美邦服饰,large_down,今天大跌(-5% ~ -3%)，明天概率情况,30分钟,37.5,54.17,8.33,0.42,-0.42,0.42,0.0,24
