ts_code,symbol,name,area,industry,market,list_date,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000736.SZ,000736,中交地产,重庆,全国地产,主板,19970425,20250307,6.4,4.7444,9.5741,0.7,,,9.1893,0.1473,0.1468,0.0,,74709.8401,72126.6045,35741.9096,478142.9766,461610.2688
000737.SZ,000737,北方铜业,山西,铜,主板,19970428,20250307,9.37,5.2787,11.6748,2.09,28.8405,27.6385,2.8823,1.9144,0.8697,0.9931,0.9931,190471.6435,177226.9192,80132.553,1784719.2996,1660616.2329
000739.SZ,000739,普洛药业,浙江,化学制药,主板,19970509,20250307,17.07,0.5345,1.0828,0.46,18.9137,18.5911,3.0336,1.7396,1.6275,1.8512,1.8512,116932.3576,116888.8405,57695.975,1996035.3442,1995292.5073
000751.SZ,000751,锌业股份,辽宁,铅锌,主板,19970626,20250307,2.99,4.5162,5.9106,2.89,54.2129,107.8743,1.3661,0.3083,0.352,1.0033,1.0033,161563.0595,140986.8779,107726.6753,483073.5479,421550.7649
000753.SZ,000753,漳州发展,福建,综合类,主板,19970626,20250307,4.3,4.4912,7.2164,0.98,54.3471,53.0431,1.5705,1.1683,1.2233,0.6977,0.6977,99148.1071,99148.1071,61705.3723,426336.8605,426336.8605
000755.SZ,000755,山西高速,山西,路桥,主板,19970627,20250307,4.67,0.3928,1.7011,0.87,14.9375,14.9814,1.3008,4.0034,4.1391,0.9636,0.9636,146731.0196,146731.0196,33885.2341,685233.8615,685233.8615
000758.SZ,000758,中色股份,北京,铅锌,主板,19970416,20250307,5.08,2.5992,3.9851,2.0,28.1896,26.5229,1.7982,1.0814,1.0015,0.0,,199284.1364,196931.4394,128441.9639,1012363.4129,1000411.7122
000759.SZ,000759,中百集团,湖北,超市连锁,主板,19970519,20250307,8.88,16.511,25.9361,0.64,,,3.0902,0.5111,0.5622,0.0,,66997.1694,65570.6025,41742.3281,594934.8643,582266.9502
000761.SZ,000761,本钢板材,辽宁,普钢,主板,19980115,20250307,3.97,0.7228,4.7759,0.77,,,1.2675,0.2821,0.2994,0.0,,410822.8157,370822.8157,56122.8531,1630966.5783,1472166.5783
000762.SZ,000762,西藏矿业,西藏,小金属,主板,19970708,20250307,21.95,4.0558,5.1261,1.24,69.8343,56.365,3.8286,14.2019,13.7203,0.4556,0.4556,52117.414,52080.0618,41206.7135,1143977.2373,1143157.3565
000766.SZ,000766,通化金马,吉林,化学制药,主板,19970430,20250307,17.22,2.8544,3.5533,1.26,378.8217,318.1811,7.1076,11.2961,11.9075,0.0,,96649.4707,96600.7681,77600.7681,1664303.8855,1663465.2267
000767.SZ,000767,晋控电力,山西,火力发电,主板,19970609,20250307,2.53,0.541,0.9257,0.89,,,1.3495,0.3969,0.4751,0.0,,307694.2219,291224.6436,170187.3009,778466.3814,736798.3483
000777.SZ,000777,中核科技,江苏,机械基件,主板,19970710,20250307,18.4,3.4595,4.7552,0.81,31.7744,34.0063,3.4904,3.8983,4.1074,1.1278,1.1278,38341.7593,38341.0827,27894.1648,705488.3711,705475.9217
000778.SZ,000778,新兴铸管,河北,钢加工,主板,19970606,20250307,3.52,0.947,1.5569,1.31,10.3273,18.7238,0.5441,0.3225,0.4102,1.7149,1.7149,396318.2285,389362.4752,236833.1013,1395040.1643,1370555.9127
000779.SZ,000779,甘咨询,甘肃,建筑工程,主板,19970528,20250307,10.1,14.956,27.3909,3.94,18.4521,18.8748,1.2405,1.9651,2.2779,0.7921,0.7921,46482.9452,46478.89,25378.3637,469477.7465,469436.789
000782.SZ,000782,恒申新材,广东,化纤,主板,19970619,20250307,4.95,5.5701,6.3566,2.36,,,1.8543,1.2063,1.0609,0.0,,68658.1509,52813.9623,46278.9623,339857.847,261429.1134
000788.SZ,000788,北大医药,重庆,化学制药,主板,19970616,20250307,5.83,1.7314,2.6243,1.2,78.3335,27.0245,2.3054,1.5838,1.6764,1.3036,1.3036,59598.7425,59598.7425,39320.3001,347460.6688,347460.6688
000789.SZ,000789,万年青,江西,水泥,主板,19970923,20250307,5.16,0.9938,1.7887,1.26,18.0,,0.6104,0.5024,0.6612,1.7442,1.7442,79740.7185,79738.8278,44300.2874,411462.1075,411452.3514
000793.SZ,000793,华闻集团,海南,出版业,主板,19970729,20250307,2.87,3.5333,4.6592,0.87,,,6.8804,10.1164,14.8243,0.0,,199724.5457,196100.8615,148709.567,573209.4462,562809.4725
000795.SZ,000795,英洛华,浙江,矿物制品,主板,19970808,20250307,12.49,14.1626,27.8797,1.47,163.2955,67.1352,5.2612,3.6789,3.6291,0.2128,0.2128,113368.4103,113368.4103,57590.124,1415971.4446,1415971.4446
000796.SZ,000796,凯撒旅业,海南,旅游服务,主板,19970703,20250307,3.88,3.2543,4.1112,0.6,10.2441,7.5446,7.2466,10.6906,10.2583,0.0,,160378.8916,133076.681,105341.0858,622270.0994,516337.5223
000797.SZ,000797,中国武夷,福建,全国地产,主板,19970715,20250307,2.95,7.2174,16.0036,1.61,118.7801,64.6602,0.8877,0.4884,0.4706,0.339,0.339,157075.4217,157022.3013,70815.4365,463372.494,463215.7888
000799.SZ,000799,酒鬼酒,湖南,白酒,主板,19970718,20250307,46.96,2.3127,3.3517,0.79,27.8538,121.503,3.8044,5.3924,8.1238,2.1295,2.1295,32492.898,32492.898,22420.1689,1525866.4901,1525866.4901
000801.SZ,000801,四川九洲,四川,家用电器,主板,19980506,20250307,20.09,17.7763,35.0209,1.66,102.5506,114.7553,6.9036,5.3626,5.5156,0.4978,0.4978,102280.6646,102280.6646,51916.5938,2054818.5518,2054818.5518
000802.SZ,000802,北京文化,北京,影视音像,主板,19980108,20250307,5.02,2.1073,2.7177,0.73,,,2.9665,6.1008,6.5304,0.0,,71590.0255,71546.5255,55475.6027,359381.928,359163.558
000810.SZ,000810,创维数字,四川,家用电器,主板,19980602,20250307,14.26,6.3521,13.8356,1.77,27.2429,41.978,2.587,1.5434,1.7054,1.044,1.6008,115021.6072,111759.1649,51309.5732,1640208.1187,1593685.6915
000811.SZ,000811,冰轮环境,山东,工程机械,主板,19980528,20250307,13.42,3.3298,5.2776,1.0,15.6538,18.1789,1.7634,1.3669,1.4902,0.7452,1.4904,76356.7804,74582.8488,47057.0192,1024707.993,1000901.8309
000812.SZ,000812,陕西金叶,陕西,广告包装,主板,19980623,20250307,4.63,1.8972,2.299,0.97,89.5121,63.0205,1.9416,2.8734,2.5519,0.432,0.432,76869.2614,76816.097,63393.523,355904.6803,355658.5291
000813.SZ,000813,德展健康,新疆,化学制药,主板,19980519,20250307,3.34,2.6794,5.7626,1.48,86.7913,240.7228,1.3963,14.5174,13.9751,0.0,,216495.599,216461.849,100648.8184,723095.3007,722982.5757
000815.SZ,000815,美利云,宁夏,造纸,主板,19980609,20250307,12.44,10.3069,15.2102,1.06,,,4.6593,7.9961,8.2803,0.0,,69526.3035,69526.3035,47113.1987,864907.2155,864907.2155
000816.SZ,000816,智慧农业,江苏,农用机械,主板,19970818,20250307,3.91,14.8256,19.9635,1.41,,,2.6357,4.3521,4.2935,0.0,,144701.3318,143651.3922,106680.9222,565782.2073,561676.9435
000818.SZ,000818,航锦科技,辽宁,化工原料,主板,19971017,20250307,30.3,17.2858,23.4629,1.14,160.6065,268.3216,6.1123,5.6096,4.7617,0.1639,0.1639,67915.6,67736.74,49903.52,2057842.68,2052423.222
000819.SZ,000819,岳阳兴长,湖南,石油加工,主板,19970625,20250307,16.28,2.6485,3.887,1.51,59.5456,60.2134,2.7799,1.9621,1.6119,0.6143,0.6143,36969.7506,34880.2723,23767.0895,601867.5398,567850.833
000821.SZ,000821,京山轻机,湖北,电气设备,主板,19980626,20250307,13.68,3.4475,4.484,0.84,25.321,18.0894,2.1081,1.1812,0.9553,0.6341,0.6341,62287.4778,60525.8264,46534.3198,852092.6963,827993.3052
000822.SZ,000822,山东海化,山东,化工原料,主板,19980703,20250307,5.23,1.1352,1.9027,1.16,4.4836,8.5045,0.8888,0.5489,0.6651,1.912,1.912,89509.1926,89509.1926,53404.3048,468133.0773,468133.0773
000823.SZ,000823,超声电子,广东,元器件,主板,19971008,20250307,10.78,3.5315,5.0673,1.55,29.5359,27.1316,1.2581,1.0607,1.0339,0.9276,0.9276,53699.1026,53694.5538,37420.3738,578876.326,578827.29
000825.SZ,000825,太钢不锈,山西,特种钢,主板,19981021,20250307,3.69,0.4449,1.2128,0.77,,,0.6374,0.1994,0.2095,0.0,,570691.3596,569624.7796,208979.3462,2105851.1169,2101915.4367
000828.SZ,000828,东莞控股,广东,路桥,主板,19970617,20250307,10.09,0.4819,1.5971,0.96,15.7308,16.2483,1.0919,2.2046,3.9188,4.7076,4.7076,103951.6992,103951.5642,31367.3048,1048872.6449,1048871.2828
000829.SZ,000829,天音控股,江西,其他商业,主板,19971202,20250307,12.49,10.1932,16.0964,1.51,153.048,,4.2915,0.135,0.1349,0.2002,0.2002,102510.0438,102412.9669,64854.1551,1280350.4471,1279137.9566
000837.SZ,000837,秦川机床,陕西,机床制造,主板,19980928,20250307,12.23,6.6788,12.2151,1.24,235.7669,537.4771,2.5747,3.2758,3.2271,0.0,,100742.2837,100740.3337,55081.7236,1232078.1297,1232054.2812
000839.SZ,000839,中信国安,北京,综合类,主板,19971031,20250307,3.07,1.2761,2.0078,1.15,,406.4053,8.7627,4.036,3.5821,0.0,,391982.6352,391982.6352,249133.8007,1203386.6901,1203386.6901
000848.SZ,000848,承德露露,河北,软饮料,主板,19971113,20250307,8.44,0.955,1.6501,1.23,13.9213,14.4738,2.7899,3.0066,2.8855,4.7393,4.7393,105255.4074,103951.8736,60158.687,888355.6385,877353.8132
000850.SZ,000850,华茂股份,安徽,纺织,主板,19981007,20250307,4.31,1.0778,2.0114,1.03,29.3863,25.3354,0.9365,1.1407,1.1114,2.2671,2.2671,94366.5009,94339.6879,50553.6311,406719.6189,406604.0548
000852.SZ,000852,石化机械,湖北,化工机械,主板,19981126,20250307,6.85,5.5274,11.6448,1.55,71.2219,73.9157,2.1217,0.7799,0.8275,0.0,,95614.1689,94100.1379,44666.338,654957.057,644585.9446
