股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
002076.SZ,星光股份,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,100.0,0.0,0.0,5.69,5.42,5.69,10.73,2
002076.SZ,星光股份,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2
002076.SZ,星光股份,large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,100.0,0.0,0.0,3.12,0.0,2.85,0.0,2
002076.SZ,星光股份,large_down,今天大跌(-5% ~ -3%)，明天概率情况,15分钟,100.0,0.0,0.0,2.71,0.0,2.57,0.0,2
002076.SZ,星光股份,large_down,今天大跌(-5% ~ -3%)，明天概率情况,30分钟,100.0,0.0,0.0,2.63,0.0,2.03,0.0,2
002076.SZ,星光股份,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1小时,100.0,0.0,0.0,2.44,0.0,1.97,0.0,2
002076.SZ,星光股份,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,66.67,33.33,0.0,1.78,1.18,1.18,11.09,3
002076.SZ,星光股份,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,66.67,33.33,0.0,0.0,0.0,0.0,0.0,3
002076.SZ,星光股份,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,66.67,33.33,0.0,1.89,-0.85,1.44,0.0,3
002076.SZ,星光股份,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,66.67,33.33,0.0,1.8,-0.6,1.71,0.0,3
002076.SZ,星光股份,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,66.67,33.33,0.0,1.35,-0.77,1.08,0.0,3
002076.SZ,星光股份,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,100.0,0.0,0.0,1.11,-0.69,0.54,0.0,3
002076.SZ,星光股份,1-3,今天1-3%，明天概率情况,竞价,33.33,66.67,0.0,-2.06,-2.65,-2.65,5.7,3
002076.SZ,星光股份,1-3,今天1-3%，明天概率情况,1分钟,33.33,66.67,0.0,0.0,0.0,0.0,0.0,3
002076.SZ,星光股份,1-3,今天1-3%，明天概率情况,5分钟,33.33,66.67,0.0,2.89,-1.28,2.6,0.0,3
002076.SZ,星光股份,1-3,今天1-3%，明天概率情况,15分钟,33.33,66.67,0.0,1.64,-1.02,1.54,0.0,3
002076.SZ,星光股份,1-3,今天1-3%，明天概率情况,30分钟,33.33,66.67,0.0,1.64,-1.02,1.35,0.0,3
002076.SZ,星光股份,1-3,今天1-3%，明天概率情况,1小时,33.33,66.67,0.0,1.25,-1.19,0.77,0.0,3
002076.SZ,星光股份,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,0.0,100.0,0.0,-2.73,-3.64,-3.33,2.54,5
002076.SZ,星光股份,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,20.0,80.0,0.0,0.0,0.0,0.0,0.0,5
002076.SZ,星光股份,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,20.0,80.0,0.0,0.47,-1.66,0.06,0.0,5
002076.SZ,星光股份,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,20.0,60.0,20.0,0.73,-1.66,0.16,0.0,5
002076.SZ,星光股份,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,40.0,40.0,20.0,0.83,-1.4,0.68,0.0,5
002076.SZ,星光股份,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,60.0,40.0,0.0,0.78,-0.99,0.42,0.0,5
002076.SZ,星光股份,3-5,今天3-5%，明天概率情况,竞价,0.0,100.0,0.0,-2.4,-4.2,-3.0,6.06,5
002076.SZ,星光股份,3-5,今天3-5%，明天概率情况,1分钟,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5
002076.SZ,星光股份,3-5,今天3-5%，明天概率情况,5分钟,0.0,100.0,0.0,0.0,-3.05,0.0,0.0,5
002076.SZ,星光股份,3-5,今天3-5%，明天概率情况,15分钟,0.0,100.0,0.0,0.0,-3.05,0.0,0.0,5
002076.SZ,星光股份,3-5,今天3-5%，明天概率情况,30分钟,0.0,100.0,0.0,0.0,-2.8,0.0,0.0,5
002076.SZ,星光股份,3-5,今天3-5%，明天概率情况,1小时,0.0,100.0,0.0,0.0,-1.41,0.0,0.0,5
002076.SZ,星光股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,0.0,100.0,0.0,-2.84,-4.39,-4.39,55.95,1
002076.SZ,星光股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
002076.SZ,星光股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,0.0,100.0,0.0,0.52,-5.17,0.0,0.0,1
002076.SZ,星光股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,100.0,0.0,0.0,0.52,-1.29,0.26,0.0,1
002076.SZ,星光股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,0.0,100.0,0.0,7.24,-0.52,0.0,0.0,1
002076.SZ,星光股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,100.0,0.0,0.0,4.39,0.0,2.84,0.0,1
002076.SZ,星光股份,涨停,今天涨停()涨停，明天概率情况,竞价,0.0,100.0,0.0,-4.24,-6.1,-4.77,27.27,1
002076.SZ,星光股份,涨停,今天涨停()涨停，明天概率情况,1分钟,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
002076.SZ,星光股份,涨停,今天涨停()涨停，明天概率情况,5分钟,0.0,100.0,0.0,0.0,-6.1,0.0,0.0,1
