股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
603855.SH,华荣股份,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,23.81,47.62,28.57,-0.15,-0.15,-0.15,0.43,21
603855.SH,华荣股份,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,23.81,47.62,28.57,0.0,0.0,0.0,0.0,21
603855.SH,华荣股份,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,38.1,61.9,0.0,0.17,-0.15,0.08,0.0,21
603855.SH,华荣股份,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,47.62,47.62,4.76,0.17,-0.15,0.08,0.0,21
603855.SH,华荣股份,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,52.38,47.62,0.0,0.17,-0.2,0.1,0.0,21
603855.SH,华荣股份,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1小时,42.86,52.38,4.76,0.17,-0.2,0.09,0.0,21
603855.SH,华荣股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,37.82,43.7,18.49,0.0,-0.37,-0.37,0.16,119
603855.SH,华荣股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,36.97,43.7,19.33,0.0,0.0,0.0,0.0,119
603855.SH,华荣股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,47.06,50.42,2.52,0.08,-0.05,0.08,0.0,119
603855.SH,华荣股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,48.74,48.74,2.52,0.08,-0.05,0.08,0.0,119
603855.SH,华荣股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,51.26,46.22,2.52,0.08,-0.06,0.08,0.0,119
603855.SH,华荣股份,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,46.22,53.78,0.0,0.08,-0.06,0.08,0.0,119
603855.SH,华荣股份,7-9,今天7-9%，明天概率情况,竞价,0.0,100.0,0.0,-0.05,-0.05,-0.05,3.24,3
603855.SH,华荣股份,7-9,今天7-9%，明天概率情况,1分钟,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3
