股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
603138.SH,海量数据,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,36.11,53.7,10.19,0.08,0.08,0.08,1.02,108
603138.SH,海量数据,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,36.11,53.7,10.19,0.0,0.0,0.0,0.0,108
603138.SH,海量数据,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,28.7,68.52,2.78,0.09,-0.04,0.08,0.0,108
603138.SH,海量数据,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,37.96,61.11,0.93,0.09,-0.08,0.06,0.0,108
603138.SH,海量数据,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,44.44,54.63,0.93,0.09,-0.08,0.04,0.0,108
603138.SH,海量数据,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,40.74,56.48,2.78,0.09,-0.08,0.09,0.0,108
603138.SH,海量数据,3-5,今天3-5%，明天概率情况,竞价,34.21,55.26,10.53,2.84,2.84,2.84,4.79,38
603138.SH,海量数据,3-5,今天3-5%，明天概率情况,1分钟,34.21,55.26,10.53,0.0,0.0,0.0,0.0,38
603138.SH,海量数据,3-5,今天3-5%，明天概率情况,5分钟,39.47,60.53,0.0,0.19,-0.12,0.16,0.0,38
603138.SH,海量数据,3-5,今天3-5%，明天概率情况,15分钟,47.37,50.0,2.63,0.26,-0.17,0.26,0.0,38
603138.SH,海量数据,3-5,今天3-5%，明天概率情况,30分钟,47.37,47.37,5.26,0.26,-0.17,0.26,0.0,38
603138.SH,海量数据,3-5,今天3-5%，明天概率情况,1小时,47.37,50.0,2.63,0.26,-0.24,0.26,0.0,38
603138.SH,海量数据,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,41.86,41.86,16.28,0.26,0.26,0.26,5.34,43
603138.SH,海量数据,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,41.86,44.19,13.95,0.0,0.0,0.0,0.0,43
603138.SH,海量数据,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,48.84,48.84,2.33,0.07,-0.07,0.05,0.0,43
603138.SH,海量数据,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,37.21,58.14,4.65,0.22,-0.1,0.14,0.0,43
603138.SH,海量数据,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,41.86,55.81,2.33,0.23,-0.17,0.23,0.0,43
603138.SH,海量数据,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,39.53,60.47,0.0,0.23,-0.17,0.23,0.0,43
603138.SH,海量数据,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,32.89,53.95,13.16,-0.31,-0.31,-0.31,2.71,76
603138.SH,海量数据,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,34.21,52.63,13.16,0.0,0.0,0.0,0.0,76
603138.SH,海量数据,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,30.26,64.47,5.26,0.09,-0.13,0.05,0.0,76
603138.SH,海量数据,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,34.21,64.47,1.32,0.1,-0.13,0.06,0.0,76
603138.SH,海量数据,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,36.84,61.84,1.32,0.1,-0.13,0.06,0.0,76
603138.SH,海量数据,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,42.11,55.26,2.63,0.1,-0.13,0.06,0.0,76
603138.SH,海量数据,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,39.39,54.55,6.06,0.63,0.63,0.63,1.26,33
603138.SH,海量数据,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,42.42,51.52,6.06,0.0,0.0,0.0,0.0,33
603138.SH,海量数据,large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,51.52,45.45,3.03,0.23,-0.29,0.13,0.0,33
603138.SH,海量数据,large_down,今天大跌(-5% ~ -3%)，明天概率情况,15分钟,63.64,36.36,0.0,0.3,-0.3,0.3,0.0,33
603138.SH,海量数据,large_down,今天大跌(-5% ~ -3%)，明天概率情况,30分钟,69.7,30.3,0.0,0.3,-0.3,0.3,0.0,33
