股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
600218.SH,全柴动力,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,46.15,38.46,15.38,-0.11,-0.11,-0.11,1.01,104
600218.SH,全柴动力,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,45.19,39.42,15.38,0.0,0.0,0.0,0.0,104
600218.SH,全柴动力,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,47.12,41.35,11.54,0.04,-0.04,0.03,0.0,104
600218.SH,全柴动力,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,47.12,48.08,4.81,0.1,-0.06,0.1,0.0,104
600218.SH,全柴动力,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,43.27,47.12,9.62,0.1,-0.06,0.1,0.0,104
600218.SH,全柴动力,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,49.04,45.19,5.77,0.1,-0.06,0.1,0.0,104
600218.SH,全柴动力,3-5,今天3-5%，明天概率情况,竞价,38.1,47.62,14.29,0.23,0.23,0.23,0.29,21
600218.SH,全柴动力,3-5,今天3-5%，明天概率情况,1分钟,38.1,42.86,19.05,0.0,0.0,0.0,0.0,21
600218.SH,全柴动力,3-5,今天3-5%，明天概率情况,5分钟,47.62,52.38,0.0,0.24,-0.28,0.22,0.0,21
600218.SH,全柴动力,3-5,今天3-5%，明天概率情况,15分钟,42.86,52.38,4.76,0.28,-0.28,0.14,0.0,21
600218.SH,全柴动力,3-5,今天3-5%，明天概率情况,30分钟,42.86,57.14,0.0,0.28,-0.28,0.18,0.0,21
600218.SH,全柴动力,3-5,今天3-5%，明天概率情况,1小时,47.62,42.86,9.52,0.28,-0.28,0.19,0.0,21
600218.SH,全柴动力,1-3,今天1-3%，明天概率情况,竞价,40.78,41.75,17.48,-0.45,-0.45,-0.45,0.2,103
600218.SH,全柴动力,1-3,今天1-3%，明天概率情况,1分钟,40.78,41.75,17.48,0.0,0.0,0.0,0.0,103
600218.SH,全柴动力,1-3,今天1-3%，明天概率情况,5分钟,45.63,45.63,8.74,0.03,-0.03,0.02,0.0,103
600218.SH,全柴动力,1-3,今天1-3%，明天概率情况,15分钟,49.51,47.57,2.91,0.07,-0.03,0.06,0.0,103
600218.SH,全柴动力,1-3,今天1-3%，明天概率情况,30分钟,53.4,42.72,3.88,0.07,-0.03,0.04,0.0,103
600218.SH,全柴动力,1-3,今天1-3%，明天概率情况,1小时,49.51,47.57,2.91,0.07,-0.04,0.04,0.0,103
600218.SH,全柴动力,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,33.98,44.66,21.36,-0.34,-0.34,-0.34,0.21,103
600218.SH,全柴动力,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,33.98,43.69,22.33,0.0,0.0,0.0,0.0,103
600218.SH,全柴动力,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,47.57,43.69,8.74,0.06,-0.06,0.04,0.0,103
600218.SH,全柴动力,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,51.46,38.83,9.71,0.06,-0.06,0.04,0.0,103
600218.SH,全柴动力,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,50.49,46.6,2.91,0.07,-0.07,0.06,0.0,103
600218.SH,全柴动力,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,53.4,44.66,1.94,0.07,-0.07,0.05,0.0,103
600218.SH,全柴动力,5-7,今天5-7%，明天概率情况,竞价,0.0,100.0,0.0,-0.45,-0.9,-0.45,5.55,4
600218.SH,全柴动力,5-7,今天5-7%，明天概率情况,1分钟,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4
600218.SH,全柴动力,5-7,今天5-7%，明天概率情况,5分钟,0.0,100.0,0.0,0.0,-2.02,0.0,0.0,4
600218.SH,全柴动力,5-7,今天5-7%，明天概率情况,15分钟,0.0,100.0,0.0,0.0,-2.02,0.0,0.0,4
600218.SH,全柴动力,5-7,今天5-7%，明天概率情况,30分钟,0.0,100.0,0.0,0.0,-2.02,0.0,0.0,4
600218.SH,全柴动力,5-7,今天5-7%，明天概率情况,1小时,25.0,75.0,0.0,0.78,-2.02,0.31,0.0,4
600218.SH,全柴动力,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,36.17,42.55,21.28,0.99,0.99,0.99,0.95,94
600218.SH,全柴动力,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,37.23,40.43,22.34,0.0,0.0,0.0,0.0,94
600218.SH,全柴动力,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,36.17,55.32,8.51,0.03,-0.08,0.02,0.0,94
600218.SH,全柴动力,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,37.23,56.38,6.38,0.04,-0.08,0.04,0.0,94
600218.SH,全柴动力,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,42.55,56.38,1.06,0.04,-0.08,0.04,0.0,94
600218.SH,全柴动力,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,46.81,48.94,4.26,0.04,-0.08,0.04,0.0,94
600218.SH,全柴动力,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,38.1,52.38,9.52,-0.81,-0.81,-0.81,1.23,21
600218.SH,全柴动力,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,33.33,57.14,9.52,0.0,0.0,0.0,0.0,21
600218.SH,全柴动力,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,57.14,42.86,0.0,0.38,-0.28,0.25,0.0,21
600218.SH,全柴动力,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,52.38,42.86,4.76,0.38,-0.32,0.21,0.0,21
600218.SH,全柴动力,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,38.1,52.38,9.52,0.38,-0.37,0.14,0.0,21
600218.SH,全柴动力,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1小时,57.14,42.86,0.0,0.38,-0.37,0.12,0.0,21
600218.SH,全柴动力,涨停,今天涨停()涨停，明天概率情况,竞价,66.67,16.67,16.67,9.93,9.93,9.93,133.17,6
600218.SH,全柴动力,涨停,今天涨停()涨停，明天概率情况,1分钟,66.67,33.33,0.0,0.0,0.0,0.0,0.0,6
600218.SH,全柴动力,涨停,今天涨停()涨停，明天概率情况,5分钟,66.67,33.33,0.0,1.67,-1.21,1.67,0.0,6
600218.SH,全柴动力,涨停,今天涨停()涨停，明天概率情况,15分钟,66.67,33.33,0.0,1.67,-1.21,1.67,0.0,6
600218.SH,全柴动力,涨停,今天涨停()涨停，明天概率情况,30分钟,50.0,33.33,16.67,1.67,-1.21,1.67,0.0,6
600218.SH,全柴动力,涨停,今天涨停()涨停，明天概率情况,1小时,50.0,50.0,0.0,1.67,-1.21,1.67,0.0,6
600218.SH,全柴动力,flat,今天平开(涨幅=0%)  ，明天概率情况,竞价,33.33,25.0,41.67,0.0,0.0,0.0,0.58,12
600218.SH,全柴动力,flat,今天平开(涨幅=0%)  ，明天概率情况,1分钟,25.0,25.0,50.0,0.0,0.0,0.0,0.0,12
600218.SH,全柴动力,flat,今天平开(涨幅=0%)  ，明天概率情况,5分钟,50.0,41.67,8.33,0.16,-0.13,0.1,0.0,12
600218.SH,全柴动力,flat,今天平开(涨幅=0%)  ，明天概率情况,15分钟,58.33,41.67,0.0,0.16,-0.13,0.14,0.0,12
600218.SH,全柴动力,flat,今天平开(涨幅=0%)  ，明天概率情况,30分钟,50.0,50.0,0.0,0.2,-0.15,0.09,0.0,12
600218.SH,全柴动力,flat,今天平开(涨幅=0%)  ，明天概率情况,1小时,41.67,58.33,0.0,0.22,-0.22,0.16,0.0,12
600218.SH,全柴动力,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,38.46,53.85,7.69,-0.13,-0.13,-0.13,0.96,13
600218.SH,全柴动力,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,38.46,53.85,7.69,0.0,0.0,0.0,0.0,13
600218.SH,全柴动力,large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,61.54,38.46,0.0,0.54,-0.76,0.42,0.0,13
600218.SH,全柴动力,large_down,今天大跌(-5% ~ -3%)，明天概率情况,15分钟,61.54,38.46,0.0,0.7,-0.76,0.55,0.0,13
