股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
300052.SZ,中青宝,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,39.39,57.58,3.03,-2.49,-4.34,-2.66,36.18,33
300052.SZ,中青宝,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,42.42,54.55,3.03,0.0,0.0,0.0,0.0,33
300052.SZ,中青宝,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,48.48,51.52,0.0,0.23,-0.48,0.16,0.0,33
300052.SZ,中青宝,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,48.48,51.52,0.0,0.28,-0.48,0.17,0.0,33
300052.SZ,中青宝,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,57.58,39.39,3.03,0.28,-0.48,0.18,0.0,33
300052.SZ,中青宝,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1小时,51.52,48.48,0.0,0.28,-0.48,0.18,0.0,33
300052.SZ,中青宝,3-5,今天3-5%，明天概率情况,竞价,46.51,51.16,2.33,1.4,0.94,1.12,16.12,43
300052.SZ,中青宝,3-5,今天3-5%，明天概率情况,1分钟,39.53,53.49,6.98,0.0,0.0,0.0,0.0,43
300052.SZ,中青宝,3-5,今天3-5%，明天概率情况,5分钟,30.23,69.77,0.0,0.23,-0.21,0.2,0.0,43
300052.SZ,中青宝,3-5,今天3-5%，明天概率情况,15分钟,44.19,55.81,0.0,0.4,-0.21,0.3,0.0,43
300052.SZ,中青宝,3-5,今天3-5%，明天概率情况,30分钟,41.86,58.14,0.0,0.47,-0.21,0.47,0.0,43
300052.SZ,中青宝,3-5,今天3-5%，明天概率情况,1小时,39.53,60.47,0.0,0.47,-0.23,0.47,0.0,43
300052.SZ,中青宝,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,29.82,61.4,8.77,-0.22,-0.57,-0.57,18.94,57
300052.SZ,中青宝,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,43.86,52.63,3.51,0.0,0.0,0.0,0.0,57
300052.SZ,中青宝,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,50.88,43.86,5.26,0.1,-0.09,0.1,0.0,57
300052.SZ,中青宝,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,63.16,36.84,0.0,0.22,-0.09,0.16,0.0,57
300052.SZ,中青宝,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,61.4,38.6,0.0,0.26,-0.11,0.23,0.0,57
300052.SZ,中青宝,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,57.89,42.11,0.0,0.35,-0.11,0.35,0.0,57
300052.SZ,中青宝,1-3,今天1-3%，明天概率情况,竞价,27.06,70.59,2.35,0.29,0.0,0.19,5.61,85
300052.SZ,中青宝,1-3,今天1-3%，明天概率情况,1分钟,25.88,68.24,5.88,0.0,0.0,0.0,0.0,85
300052.SZ,中青宝,1-3,今天1-3%，明天概率情况,5分钟,36.47,63.53,0.0,0.15,-0.05,0.08,0.0,85
300052.SZ,中青宝,1-3,今天1-3%，明天概率情况,15分钟,34.12,60.0,5.88,0.15,-0.1,0.15,0.0,85
300052.SZ,中青宝,1-3,今天1-3%，明天概率情况,30分钟,36.47,61.18,2.35,0.15,-0.1,0.11,0.0,85
300052.SZ,中青宝,1-3,今天1-3%，明天概率情况,1小时,40.0,57.65,2.35,0.15,-0.16,0.12,0.0,85
300052.SZ,中青宝,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,44.12,50.0,5.88,1.59,0.73,1.59,9.81,34
300052.SZ,中青宝,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,58.82,38.24,2.94,0.0,0.0,0.0,0.0,34
300052.SZ,中青宝,large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,44.12,52.94,2.94,0.21,-0.39,0.15,0.0,34
300052.SZ,中青宝,large_down,今天大跌(-5% ~ -3%)，明天概率情况,15分钟,52.94,44.12,2.94,0.21,-0.5,0.12,0.0,34
300052.SZ,中青宝,large_down,今天大跌(-5% ~ -3%)，明天概率情况,30分钟,50.0,47.06,2.94,0.21,-0.5,0.15,0.0,34
300052.SZ,中青宝,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1小时,55.88,41.18,2.94,0.21,-0.5,0.2,0.0,34
300052.SZ,中青宝,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,27.59,65.52,6.9,1.77,1.2,1.48,10.39,87
300052.SZ,中青宝,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,29.89,66.67,3.45,0.0,0.0,0.0,0.0,87
300052.SZ,中青宝,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,41.38,56.32,2.3,0.07,-0.04,0.06,0.0,87
300052.SZ,中青宝,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,41.38,55.17,3.45,0.07,-0.05,0.05,0.0,87
300052.SZ,中青宝,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,43.68,54.02,2.3,0.08,-0.06,0.05,0.0,87
300052.SZ,中青宝,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,44.83,54.02,1.15,0.08,-0.08,0.05,0.0,87
300052.SZ,中青宝,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,44.55,45.45,10.0,0.3,0.1,0.1,1.59,110
300052.SZ,中青宝,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,49.09,41.82,9.09,0.0,0.0,0.0,0.0,110
300052.SZ,中青宝,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,50.91,46.36,2.73,0.09,-0.04,0.07,0.0,110
300052.SZ,中青宝,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,50.91,49.09,0.0,0.14,-0.05,0.14,0.0,110
300052.SZ,中青宝,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,50.0,47.27,2.73,0.15,-0.09,0.1,0.0,110
300052.SZ,中青宝,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,55.45,40.0,4.55,0.15,-0.09,0.1,0.0,110
300052.SZ,中青宝,5-7,今天5-7%，明天概率情况,竞价,26.67,73.33,0.0,-0.6,-1.24,-0.94,47.76,15
300052.SZ,中青宝,5-7,今天5-7%，明天概率情况,1分钟,20.0,80.0,0.0,0.0,0.0,0.0,0.0,15
300052.SZ,中青宝,5-7,今天5-7%，明天概率情况,5分钟,20.0,80.0,0.0,0.42,-0.44,0.25,0.0,15
300052.SZ,中青宝,5-7,今天5-7%，明天概率情况,15分钟,26.67,73.33,0.0,0.42,-0.6,0.22,0.0,15
300052.SZ,中青宝,5-7,今天5-7%，明天概率情况,30分钟,33.33,66.67,0.0,0.42,-0.6,0.26,0.0,15
300052.SZ,中青宝,5-7,今天5-7%，明天概率情况,1小时,46.67,53.33,0.0,0.45,-0.6,0.36,0.0,15
300052.SZ,中青宝,7-9,今天7-9%，明天概率情况,竞价,42.86,57.14,0.0,0.09,-1.04,-0.61,7.87,7
