股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
603698.SH,航天工程,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,36.45,42.99,20.56,0.13,0.13,0.13,0.12,107
603698.SH,航天工程,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,36.45,42.99,20.56,0.0,0.0,0.0,0.0,107
603698.SH,航天工程,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,41.12,57.01,1.87,0.07,-0.03,0.04,0.0,107
603698.SH,航天工程,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,38.32,58.88,2.8,0.07,-0.04,0.06,0.0,107
603698.SH,航天工程,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,45.79,53.27,0.93,0.09,-0.04,0.08,0.0,107
603698.SH,航天工程,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,50.47,46.73,2.8,0.09,-0.04,0.09,0.0,107
603698.SH,航天工程,1-3,今天1-3%，明天概率情况,竞价,38.24,45.1,16.67,-0.39,-0.39,-0.39,0.19,102
603698.SH,航天工程,1-3,今天1-3%，明天概率情况,1分钟,37.25,44.12,18.63,0.0,0.0,0.0,0.0,102
603698.SH,航天工程,1-3,今天1-3%，明天概率情况,5分钟,46.08,50.0,3.92,0.06,-0.05,0.03,0.0,102
603698.SH,航天工程,1-3,今天1-3%，明天概率情况,15分钟,49.02,49.02,1.96,0.06,-0.05,0.03,0.0,102
603698.SH,航天工程,1-3,今天1-3%，明天概率情况,30分钟,51.96,47.06,0.98,0.06,-0.05,0.03,0.0,102
603698.SH,航天工程,1-3,今天1-3%，明天概率情况,1小时,55.88,44.12,0.0,0.06,-0.05,0.04,0.0,102
603698.SH,航天工程,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,41.05,43.16,15.79,0.38,0.38,0.38,0.05,95
603698.SH,航天工程,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,43.16,40.0,16.84,0.0,0.0,0.0,0.0,95
603698.SH,航天工程,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,47.37,49.47,3.16,0.11,-0.02,0.11,0.0,95
603698.SH,航天工程,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,46.32,46.32,7.37,0.11,-0.02,0.11,0.0,95
603698.SH,航天工程,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,47.37,49.47,3.16,0.11,-0.03,0.11,0.0,95
603698.SH,航天工程,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,49.47,47.37,3.16,0.11,-0.05,0.11,0.0,95
603698.SH,航天工程,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,30.69,45.54,23.76,-0.97,-0.97,-0.97,0.32,101
603698.SH,航天工程,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,31.68,44.55,23.76,0.0,0.0,0.0,0.0,101
603698.SH,航天工程,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,52.48,44.55,2.97,0.09,-0.06,0.07,0.0,101
603698.SH,航天工程,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,48.51,46.53,4.95,0.1,-0.06,0.1,0.0,101
603698.SH,航天工程,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,51.49,48.51,0.0,0.1,-0.06,0.1,0.0,101
603698.SH,航天工程,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,50.5,49.5,0.0,0.1,-0.06,0.1,0.0,101
603698.SH,航天工程,flat,今天平开(涨幅=0%)  ，明天概率情况,竞价,22.22,55.56,22.22,0.34,0.34,0.34,0.11,9
603698.SH,航天工程,flat,今天平开(涨幅=0%)  ，明天概率情况,1分钟,22.22,55.56,22.22,0.0,0.0,0.0,0.0,9
603698.SH,航天工程,flat,今天平开(涨幅=0%)  ，明天概率情况,5分钟,44.44,55.56,0.0,0.1,-0.23,0.07,0.0,9
603698.SH,航天工程,flat,今天平开(涨幅=0%)  ，明天概率情况,15分钟,33.33,66.67,0.0,0.17,-0.23,0.14,0.0,9
603698.SH,航天工程,flat,今天平开(涨幅=0%)  ，明天概率情况,30分钟,33.33,55.56,11.11,0.17,-0.23,0.13,0.0,9
603698.SH,航天工程,flat,今天平开(涨幅=0%)  ，明天概率情况,1小时,22.22,77.78,0.0,0.17,-0.23,0.03,0.0,9
603698.SH,航天工程,3-5,今天3-5%，明天概率情况,竞价,47.37,36.84,15.79,-0.06,-0.06,-0.06,0.89,19
603698.SH,航天工程,3-5,今天3-5%，明天概率情况,1分钟,47.37,36.84,15.79,0.0,0.0,0.0,0.0,19
603698.SH,航天工程,3-5,今天3-5%，明天概率情况,5分钟,47.37,47.37,5.26,0.35,-0.18,0.35,0.0,19
603698.SH,航天工程,3-5,今天3-5%，明天概率情况,15分钟,57.89,36.84,5.26,0.37,-0.18,0.24,0.0,19
603698.SH,航天工程,3-5,今天3-5%，明天概率情况,30分钟,68.42,31.58,0.0,0.37,-0.21,0.26,0.0,19
603698.SH,航天工程,3-5,今天3-5%，明天概率情况,1小时,57.89,36.84,5.26,0.37,-0.23,0.31,0.0,19
603698.SH,航天工程,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,45.45,45.45,9.09,0.98,0.98,0.98,0.43,22
603698.SH,航天工程,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,45.45,45.45,9.09,0.0,0.0,0.0,0.0,22
603698.SH,航天工程,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,45.45,54.55,0.0,0.37,-0.12,0.19,0.0,22
603698.SH,航天工程,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,45.45,54.55,0.0,0.37,-0.12,0.2,0.0,22
603698.SH,航天工程,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,54.55,45.45,0.0,0.37,-0.15,0.23,0.0,22
603698.SH,航天工程,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1小时,45.45,54.55,0.0,0.46,-0.19,0.46,0.0,22
603698.SH,航天工程,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,33.33,41.67,25.0,1.32,1.32,1.32,4.36,12
603698.SH,航天工程,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,33.33,41.67,25.0,0.0,0.0,0.0,0.0,12
603698.SH,航天工程,large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,50.0,50.0,0.0,0.32,-0.41,0.3,0.0,12
603698.SH,航天工程,large_down,今天大跌(-5% ~ -3%)，明天概率情况,15分钟,50.0,50.0,0.0,0.35,-0.52,0.32,0.0,12
603698.SH,航天工程,large_down,今天大跌(-5% ~ -3%)，明天概率情况,30分钟,58.33,41.67,0.0,0.46,-0.69,0.43,0.0,12
603698.SH,航天工程,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1小时,58.33,41.67,0.0,0.51,-0.82,0.5,0.0,12
603698.SH,航天工程,涨停,今天涨停()涨停，明天概率情况,竞价,80.0,20.0,0.0,4.54,4.54,4.54,8.45,5
603698.SH,航天工程,涨停,今天涨停()涨停，明天概率情况,1分钟,80.0,20.0,0.0,0.0,0.0,0.0,0.0,5
603698.SH,航天工程,涨停,今天涨停()涨停，明天概率情况,5分钟,40.0,60.0,0.0,1.16,-0.79,1.07,0.0,5
603698.SH,航天工程,涨停,今天涨停()涨停，明天概率情况,15分钟,40.0,60.0,0.0,1.16,-0.8,0.9,0.0,5
603698.SH,航天工程,涨停,今天涨停()涨停，明天概率情况,30分钟,60.0,40.0,0.0,1.16,-0.89,0.6,0.0,5
603698.SH,航天工程,涨停,今天涨停()涨停，明天概率情况,1小时,60.0,40.0,0.0,1.52,-0.92,0.93,0.0,5
603698.SH,航天工程,7-9,今天7-9%，明天概率情况,竞价,60.0,40.0,0.0,0.43,0.43,0.43,0.39,5
603698.SH,航天工程,7-9,今天7-9%，明天概率情况,1分钟,60.0,40.0,0.0,0.0,0.0,0.0,0.0,5
603698.SH,航天工程,7-9,今天7-9%，明天概率情况,5分钟,60.0,40.0,0.0,2.0,-1.26,1.84,0.0,5
603698.SH,航天工程,7-9,今天7-9%，明天概率情况,15分钟,60.0,20.0,20.0,2.0,-1.26,1.17,0.0,5
603698.SH,航天工程,7-9,今天7-9%，明天概率情况,30分钟,80.0,20.0,0.0,2.0,-1.26,1.43,0.0,5
603698.SH,航天工程,7-9,今天7-9%，明天概率情况,1小时,40.0,40.0,20.0,2.0,-1.26,0.92,0.0,5
603698.SH,航天工程,5-7,今天5-7%，明天概率情况,竞价,0.0,75.0,25.0,-0.84,-0.84,-0.84,4.2,4
603698.SH,航天工程,5-7,今天5-7%，明天概率情况,1分钟,0.0,75.0,25.0,0.0,0.0,0.0,0.0,4
603698.SH,航天工程,5-7,今天5-7%，明天概率情况,5分钟,50.0,50.0,0.0,0.72,-0.77,0.68,0.0,4
603698.SH,航天工程,5-7,今天5-7%，明天概率情况,15分钟,50.0,50.0,0.0,0.72,-0.77,0.22,0.0,4
603698.SH,航天工程,5-7,今天5-7%，明天概率情况,30分钟,75.0,25.0,0.0,0.75,-0.77,0.5,0.0,4
603698.SH,航天工程,5-7,今天5-7%，明天概率情况,1小时,75.0,25.0,0.0,1.56,-0.98,1.21,0.0,4
