股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
300088.SZ,长信科技,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,25.66,56.64,17.7,-0.15,-0.61,-0.46,0.93,113
300088.SZ,长信科技,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,34.51,53.98,11.5,0.0,0.0,0.0,0.0,113
300088.SZ,长信科技,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,45.13,46.02,8.85,0.06,-0.02,0.04,0.0,113
300088.SZ,长信科技,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,46.9,45.13,7.96,0.06,-0.04,0.03,0.0,113
300088.SZ,长信科技,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,46.02,49.56,4.42,0.06,-0.05,0.04,0.0,113
300088.SZ,长信科技,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,46.02,48.67,5.31,0.06,-0.07,0.04,0.0,113
300088.SZ,长信科技,1-3,今天1-3%，明天概率情况,竞价,34.0,41.0,25.0,0.0,-0.15,-0.15,0.64,100
300088.SZ,长信科技,1-3,今天1-3%，明天概率情况,1分钟,36.0,49.0,15.0,0.0,0.0,0.0,0.0,100
300088.SZ,长信科技,1-3,今天1-3%，明天概率情况,5分钟,44.0,46.0,10.0,0.05,-0.06,0.04,0.0,100
300088.SZ,长信科技,1-3,今天1-3%，明天概率情况,15分钟,35.0,57.0,8.0,0.06,-0.06,0.05,0.0,100
300088.SZ,长信科技,1-3,今天1-3%，明天概率情况,30分钟,41.0,53.0,6.0,0.09,-0.06,0.08,0.0,100
300088.SZ,长信科技,1-3,今天1-3%，明天概率情况,1小时,43.0,51.0,6.0,0.14,-0.06,0.08,0.0,100
300088.SZ,长信科技,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,28.95,55.26,15.79,0.14,-0.56,0.0,0.85,76
300088.SZ,长信科技,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,26.32,57.89,15.79,0.0,0.0,0.0,0.0,76
300088.SZ,长信科技,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,34.21,57.89,7.89,0.03,-0.07,0.02,0.0,76
300088.SZ,长信科技,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,30.26,53.95,15.79,0.03,-0.07,0.02,0.0,76
300088.SZ,长信科技,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,36.84,61.84,1.32,0.04,-0.07,0.04,0.0,76
300088.SZ,长信科技,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,31.58,61.84,6.58,0.06,-0.07,0.05,0.0,76
300088.SZ,长信科技,flat,今天平开(涨幅=0%)  ，明天概率情况,竞价,37.5,25.0,37.5,0.14,0.14,0.14,0.36,16
300088.SZ,长信科技,flat,今天平开(涨幅=0%)  ，明天概率情况,1分钟,56.25,37.5,6.25,0.0,0.0,0.0,0.0,16
300088.SZ,长信科技,flat,今天平开(涨幅=0%)  ，明天概率情况,5分钟,56.25,31.25,12.5,0.14,-0.14,0.08,0.0,16
300088.SZ,长信科技,flat,今天平开(涨幅=0%)  ，明天概率情况,15分钟,43.75,50.0,6.25,0.14,-0.19,0.07,0.0,16
300088.SZ,长信科技,flat,今天平开(涨幅=0%)  ，明天概率情况,30分钟,68.75,31.25,0.0,0.14,-0.19,0.09,0.0,16
300088.SZ,长信科技,flat,今天平开(涨幅=0%)  ，明天概率情况,1小时,50.0,43.75,6.25,0.14,-0.2,0.1,0.0,16
300088.SZ,长信科技,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,34.29,51.43,14.29,0.57,0.14,0.28,1.15,35
300088.SZ,长信科技,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,48.57,42.86,8.57,0.0,0.0,0.0,0.0,35
300088.SZ,长信科技,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,48.57,42.86,8.57,0.22,-0.12,0.13,0.0,35
300088.SZ,长信科技,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,48.57,42.86,8.57,0.23,-0.14,0.21,0.0,35
300088.SZ,长信科技,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,51.43,42.86,5.71,0.56,-0.14,0.47,0.0,35
300088.SZ,长信科技,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1小时,57.14,42.86,0.0,0.57,-0.22,0.57,0.0,35
300088.SZ,长信科技,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,29.07,50.0,20.93,-0.15,-0.45,-0.3,0.3,86
300088.SZ,长信科技,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,29.07,58.14,12.79,0.0,0.0,0.0,0.0,86
300088.SZ,长信科技,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,44.19,53.49,2.33,0.05,-0.03,0.03,0.0,86
300088.SZ,长信科技,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,46.51,46.51,6.98,0.05,-0.03,0.03,0.0,86
300088.SZ,长信科技,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,53.49,44.19,2.33,0.05,-0.04,0.03,0.0,86
300088.SZ,长信科技,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,48.84,44.19,6.98,0.08,-0.05,0.07,0.0,86
300088.SZ,长信科技,3-5,今天3-5%，明天概率情况,竞价,38.1,42.86,19.05,-0.59,-0.89,-0.89,1.26,21
300088.SZ,长信科技,3-5,今天3-5%，明天概率情况,1分钟,42.86,47.62,9.52,0.0,0.0,0.0,0.0,21
300088.SZ,长信科技,3-5,今天3-5%，明天概率情况,5分钟,42.86,52.38,4.76,0.14,-0.18,0.1,0.0,21
300088.SZ,长信科技,3-5,今天3-5%，明天概率情况,15分钟,38.1,52.38,9.52,0.18,-0.18,0.18,0.0,21
300088.SZ,长信科技,3-5,今天3-5%，明天概率情况,30分钟,42.86,52.38,4.76,0.19,-0.18,0.15,0.0,21
300088.SZ,长信科技,3-5,今天3-5%，明天概率情况,1小时,33.33,66.67,0.0,0.2,-0.18,0.2,0.0,21
300088.SZ,长信科技,5-7,今天5-7%，明天概率情况,竞价,50.0,42.86,7.14,2.21,1.03,1.77,21.31,14
300088.SZ,长信科技,5-7,今天5-7%，明天概率情况,1分钟,35.71,50.0,14.29,0.0,0.0,0.0,0.0,14
300088.SZ,长信科技,5-7,今天5-7%，明天概率情况,5分钟,35.71,57.14,7.14,0.6,-0.3,0.58,0.0,14
300088.SZ,长信科技,5-7,今天5-7%，明天概率情况,15分钟,50.0,35.71,14.29,0.72,-0.33,0.54,0.0,14
300088.SZ,长信科技,5-7,今天5-7%，明天概率情况,30分钟,57.14,35.71,7.14,0.72,-0.33,0.46,0.0,14
300088.SZ,长信科技,5-7,今天5-7%，明天概率情况,1小时,64.29,28.57,7.14,0.72,-0.44,0.66,0.0,14
300088.SZ,长信科技,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,35.71,50.0,14.29,0.31,-0.31,0.0,1.25,14
300088.SZ,长信科技,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,28.57,50.0,21.43,0.0,0.0,0.0,0.0,14
300088.SZ,长信科技,large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,64.29,35.71,0.0,0.31,-0.17,0.26,0.0,14
