股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
000970.SZ,中科三环,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,30.19,53.77,16.04,0.37,0.15,0.22,0.7,106
000970.SZ,中科三环,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,31.07,58.25,10.68,0.0,0.0,0.0,0.0,103
000970.SZ,中科三环,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,36.89,54.37,8.74,0.05,-0.02,0.04,0.0,103
000970.SZ,中科三环,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,36.89,56.31,6.8,0.05,-0.03,0.04,0.0,103
000970.SZ,中科三环,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,44.66,51.46,3.88,0.05,-0.03,0.04,0.0,103
000970.SZ,中科三环,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,40.78,56.31,2.91,0.05,-0.04,0.04,0.0,103
000970.SZ,中科三环,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,32.2,53.39,14.41,-0.53,-0.83,-0.68,0.91,118
000970.SZ,中科三环,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,37.93,51.72,10.34,0.0,0.0,0.0,0.0,116
000970.SZ,中科三环,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,42.24,55.17,2.59,0.02,-0.07,0.02,0.0,116
000970.SZ,中科三环,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,37.07,56.9,6.03,0.02,-0.08,0.02,0.0,116
000970.SZ,中科三环,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,45.69,47.41,6.9,0.03,-0.09,0.02,0.0,116
000970.SZ,中科三环,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,44.83,52.59,2.59,0.04,-0.09,0.04,0.0,116
000970.SZ,中科三环,5-7,今天5-7%，明天概率情况,竞价,20.0,60.0,20.0,-0.47,-1.09,-0.78,8.9,5
000970.SZ,中科三环,5-7,今天5-7%，明天概率情况,1分钟,20.0,80.0,0.0,0.0,0.0,0.0,0.0,5
000970.SZ,中科三环,5-7,今天5-7%，明天概率情况,5分钟,40.0,60.0,0.0,0.65,-0.91,0.39,0.0,5
000970.SZ,中科三环,5-7,今天5-7%，明天概率情况,15分钟,20.0,80.0,0.0,0.7,-0.91,0.58,0.0,5
000970.SZ,中科三环,5-7,今天5-7%，明天概率情况,30分钟,40.0,60.0,0.0,0.91,-0.91,0.74,0.0,5
000970.SZ,中科三环,5-7,今天5-7%，明天概率情况,1小时,20.0,80.0,0.0,0.91,-0.91,0.54,0.0,5
000970.SZ,中科三环,3-5,今天3-5%，明天概率情况,竞价,30.0,55.0,15.0,-0.73,-1.06,-0.9,1.31,20
000970.SZ,中科三环,3-5,今天3-5%，明天概率情况,1分钟,35.0,60.0,5.0,0.0,0.0,0.0,0.0,20
000970.SZ,中科三环,3-5,今天3-5%，明天概率情况,5分钟,30.0,65.0,5.0,0.35,-0.15,0.35,0.0,20
000970.SZ,中科三环,3-5,今天3-5%，明天概率情况,15分钟,40.0,60.0,0.0,0.36,-0.15,0.26,0.0,20
000970.SZ,中科三环,3-5,今天3-5%，明天概率情况,30分钟,40.0,55.0,5.0,0.36,-0.15,0.23,0.0,20
000970.SZ,中科三环,3-5,今天3-5%，明天概率情况,1小时,40.0,60.0,0.0,0.36,-0.19,0.29,0.0,20
000970.SZ,中科三环,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,32.35,55.88,11.76,-0.08,-0.38,-0.08,1.56,102
000970.SZ,中科三环,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,37.0,52.0,11.0,0.0,0.0,0.0,0.0,100
000970.SZ,中科三环,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,54.0,40.0,6.0,0.05,-0.03,0.03,0.0,100
000970.SZ,中科三环,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,59.0,36.0,5.0,0.05,-0.04,0.04,0.0,100
000970.SZ,中科三环,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,56.0,42.0,2.0,0.05,-0.04,0.03,0.0,100
000970.SZ,中科三环,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,51.0,43.0,6.0,0.06,-0.04,0.05,0.0,100
000970.SZ,中科三环,1-3,今天1-3%，明天概率情况,竞价,37.8,42.68,19.51,-0.53,-0.76,-0.76,0.73,82
000970.SZ,中科三环,1-3,今天1-3%，明天概率情况,1分钟,37.8,54.88,7.32,0.0,0.0,0.0,0.0,82
000970.SZ,中科三环,1-3,今天1-3%，明天概率情况,5分钟,46.34,42.68,10.98,0.03,-0.08,0.03,0.0,82
000970.SZ,中科三环,1-3,今天1-3%，明天概率情况,15分钟,50.0,46.34,3.66,0.08,-0.08,0.06,0.0,82
000970.SZ,中科三环,1-3,今天1-3%，明天概率情况,30分钟,52.44,42.68,4.88,0.09,-0.08,0.09,0.0,82
000970.SZ,中科三环,1-3,今天1-3%，明天概率情况,1小时,54.88,42.68,2.44,0.11,-0.08,0.09,0.0,82
000970.SZ,中科三环,flat,今天平开(涨幅=0%)  ，明天概率情况,竞价,33.33,47.62,19.05,0.0,-0.23,0.0,0.45,21
000970.SZ,中科三环,flat,今天平开(涨幅=0%)  ，明天概率情况,1分钟,20.0,45.0,35.0,0.0,0.0,0.0,0.0,20
000970.SZ,中科三环,flat,今天平开(涨幅=0%)  ，明天概率情况,5分钟,50.0,50.0,0.0,0.1,-0.11,0.1,0.0,20
000970.SZ,中科三环,flat,今天平开(涨幅=0%)  ，明天概率情况,15分钟,45.0,50.0,5.0,0.14,-0.11,0.09,0.0,20
000970.SZ,中科三环,flat,今天平开(涨幅=0%)  ，明天概率情况,30分钟,45.0,50.0,5.0,0.14,-0.16,0.05,0.0,20
000970.SZ,中科三环,flat,今天平开(涨幅=0%)  ，明天概率情况,1小时,25.0,70.0,5.0,0.14,-0.18,0.03,0.0,20
000970.SZ,中科三环,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,33.33,60.0,6.67,-0.73,-1.13,-0.89,1.41,15
000970.SZ,中科三环,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,33.33,53.33,13.33,0.0,0.0,0.0,0.0,15
000970.SZ,中科三环,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,60.0,33.33,6.67,0.15,-0.14,0.13,0.0,15
000970.SZ,中科三环,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,53.33,40.0,6.67,0.15,-0.14,0.1,0.0,15
000970.SZ,中科三环,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,66.67,33.33,0.0,0.17,-0.15,0.12,0.0,15
