股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
002227.SZ,奥特迅,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,13.04,78.26,8.7,1.29,0.0,1.29,0.09,23
002227.SZ,奥特迅,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,34.78,65.22,0.0,0.0,0.0,0.0,0.0,23
002227.SZ,奥特迅,large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,26.09,73.91,0.0,0.43,-0.43,0.43,0.0,23
002227.SZ,奥特迅,large_down,今天大跌(-5% ~ -3%)，明天概率情况,15分钟,43.48,56.52,0.0,0.43,-0.43,0.43,0.0,23
002227.SZ,奥特迅,large_down,今天大跌(-5% ~ -3%)，明天概率情况,30分钟,43.48,56.52,0.0,0.43,-0.43,0.43,0.0,23
002227.SZ,奥特迅,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1小时,43.48,56.52,0.0,0.43,-0.43,0.43,0.0,23
002227.SZ,奥特迅,1-3,今天1-3%，明天概率情况,竞价,41.75,44.66,13.59,0.91,0.3,0.3,0.45,103
002227.SZ,奥特迅,1-3,今天1-3%，明天概率情况,1分钟,43.56,41.58,14.85,0.0,0.0,0.0,0.0,101
002227.SZ,奥特迅,1-3,今天1-3%，明天概率情况,5分钟,42.57,54.46,2.97,0.1,-0.1,0.1,0.0,101
002227.SZ,奥特迅,1-3,今天1-3%，明天概率情况,15分钟,44.55,51.49,3.96,0.1,-0.1,0.1,0.0,101
002227.SZ,奥特迅,1-3,今天1-3%，明天概率情况,30分钟,42.57,55.45,1.98,0.1,-0.1,0.1,0.0,101
002227.SZ,奥特迅,1-3,今天1-3%，明天概率情况,1小时,50.5,48.51,0.99,0.1,-0.1,0.1,0.0,101
002227.SZ,奥特迅,涨停,今天涨停()涨停，明天概率情况,竞价,81.25,12.5,6.25,1.52,1.01,1.44,26.19,16
002227.SZ,奥特迅,涨停,今天涨停()涨停，明天概率情况,1分钟,81.25,18.75,0.0,0.0,0.0,0.0,0.0,16
002227.SZ,奥特迅,涨停,今天涨停()涨停，明天概率情况,5分钟,56.25,43.75,0.0,0.63,-0.62,0.63,0.0,16
002227.SZ,奥特迅,涨停,今天涨停()涨停，明天概率情况,15分钟,62.5,37.5,0.0,0.63,-0.62,0.63,0.0,16
002227.SZ,奥特迅,涨停,今天涨停()涨停，明天概率情况,30分钟,56.25,43.75,0.0,0.63,-0.62,0.63,0.0,16
002227.SZ,奥特迅,涨停,今天涨停()涨停，明天概率情况,1小时,62.5,37.5,0.0,0.63,-0.62,0.63,0.0,16
002227.SZ,奥特迅,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,42.24,45.69,12.07,0.15,0.15,0.15,0.35,116
002227.SZ,奥特迅,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,46.49,42.98,10.53,0.0,0.0,0.0,0.0,114
002227.SZ,奥特迅,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,44.74,50.0,5.26,0.09,-0.09,0.09,0.0,114
002227.SZ,奥特迅,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,51.75,43.86,4.39,0.09,-0.09,0.09,0.0,114
002227.SZ,奥特迅,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,45.61,53.51,0.88,0.09,-0.09,0.07,0.0,114
002227.SZ,奥特迅,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,52.63,44.74,2.63,0.09,-0.09,0.07,0.0,114
002227.SZ,奥特迅,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,37.31,40.3,22.39,-0.14,-0.36,-0.14,0.88,67
