ts_code,symbol,name,area,industry,market,list_date,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
001268.SZ,001268,联合精密,广东,机械基件,主板,20220630,20250307,22.18,19.5037,20.367,3.41,38.7001,36.271,2.4067,3.6259,3.4197,1.1239,1.1239,10793.3334,3712.4609,3555.1034,239396.1348,82342.3828
001277.SZ,001277,速达股份,河南,专用机械,主板,20240903,20250307,38.49,11.8193,11.8193,0.84,18.0205,16.5592,1.9849,2.3339,2.3298,,0.3838,7600.0,1900.0,1900.0,292524.0,73131.0
001278.SZ,001278,一彬科技,浙江,汽车配件,主板,20230308,20250307,17.68,12.5972,12.5972,3.79,21.3543,26.9134,1.6522,1.0558,0.9862,0.5656,0.5656,12373.34,5053.4501,5053.4501,218760.6512,89344.9978
001286.SZ,001286,陕西能源,陕西,火力发电,主板,20230410,20250307,8.8,1.4767,2.1,1.05,12.9123,11.5468,1.3527,1.6964,1.4937,4.0909,4.6591,375000.0,105000.0,73833.4999,3300000.0,924000.0
001289.SZ,001289,龙源电力,北京,新型电力,主板,20220124,20250307,15.9,0.0508,0.0508,0.82,21.2698,23.6678,1.8369,3.5312,3.7038,1.3994,1.3994,835981.6164,504193.4164,504193.4164,13292107.7008,8016675.3208
001296.SZ,001296,长江材料,重庆,其他建材,主板,20211224,20250307,18.0,3.1439,4.4507,1.11,19.827,19.7217,1.5819,2.6723,2.5267,1.587,2.6729,14959.1086,7685.1339,5428.7591,269263.9548,138332.4102
001299.SZ,001299,美能能源,陕西,供气供热,主板,20221031,20250307,12.69,2.9813,2.9813,0.84,29.0963,27.3969,1.879,4.1341,3.699,2.3532,2.3532,18757.9697,5126.5439,5126.5439,238038.6355,65055.8421
001300.SZ,001300,三柏硕,山东,文教休闲,主板,20221019,20250307,12.2,4.6866,4.6866,0.8,,,2.8179,8.954,6.7358,0.0,,24377.5914,6621.9087,6621.9087,297406.6151,80787.2861
001309.SZ,001309,德明利,深圳,半导体,主板,20220701,20250307,154.66,14.7036,16.3163,1.25,1000.8519,44.8467,9.6955,14.0884,5.6906,0.0588,0.0588,16177.2672,8763.6153,7897.4398,2501976.1452,1355380.7423
001316.SZ,001316,润贝航科,深圳,批发业,主板,20220624,20250307,31.94,5.5565,6.2874,1.22,28.5152,30.6306,2.2226,3.1898,2.9589,2.0134,2.0134,8246.0,2720.725,2404.445,263377.24,86899.9565
001317.SZ,001317,三羊马,重庆,铁路,主板,20211130,20250307,30.87,8.758,12.4867,0.89,122.8407,176.4437,3.048,2.5208,2.2517,0.3887,0.3887,8004.6157,4198.5439,2944.7939,247102.4867,129609.0502
001324.SZ,001324,长青科技,江苏,运输设备,主板,20230522,20250307,18.7,3.162,4.1634,0.97,35.8465,42.1928,2.3472,4.867,5.4793,0.5292,0.5292,13800.0,8165.36,6201.41,258060.0,152692.232
001326.SZ,001326,联域股份,深圳,电气设备,主板,20231109,20250307,33.8,3.6551,3.6551,0.65,16.1441,21.757,2.1274,1.7907,1.6688,4.3787,4.3787,7320.0,2072.4525,2072.4525,247416.0,70048.8945
001331.SZ,001331,胜通能源,山东,公路,主板,20220908,20250307,12.35,7.5395,7.5395,1.34,,66.2092,1.6544,0.5183,0.4774,0.6748,0.6748,20160.0,5040.0,5040.0,248976.0,62244.0
001336.SZ,001336,楚环科技,浙江,专用机械,主板,20220725,20250307,19.6,2.9926,3.6265,0.83,41.527,47.4604,2.0319,3.4418,3.5236,0.6595,0.6595,8037.35,2855.726,2356.5682,157532.06,55972.2296
001358.SZ,001358,兴欣新材,浙江,化工原料,主板,20231221,20250307,23.26,2.2461,2.2461,0.95,20.2408,38.1611,1.9792,4.5469,6.231,3.6851,3.6851,12320.0,4689.6967,4689.6967,286563.2,109082.3452
001360.SZ,001360,南矿集团,江西,工程机械,主板,20230410,20250307,13.45,2.6191,2.8593,0.72,28.3886,35.0164,1.9738,2.9865,3.2606,1.6541,1.6541,20400.0,8178.1146,7490.9424,274380.0,109995.6414
001366.SZ,001366,播恩集团,江西,饲料,主板,20230307,20250307,11.16,4.5124,4.5124,0.82,36.8163,50582.1354,2.1698,1.2491,1.7001,1.0753,1.0753,16068.0,5568.0,5568.0,179318.88,62138.88
001368.SZ,001368,通达创智,福建,文教休闲,主板,20230313,20250307,22.3,34.5872,34.5872,5.09,25.181,24.4748,1.8941,3.1862,2.7204,6.4848,6.4848,11417.46,3169.5475,3169.5475,254609.358,70680.9093
001373.SZ,001373,翔腾新材,江苏,元器件,主板,20230601,20250307,32.69,12.7212,16.0088,1.02,63.7293,160.1728,2.5061,3.1449,3.3002,0.7342,0.7342,6868.6888,3313.1732,2632.7734,224537.4369,108307.6319
001378.SZ,001378,德冠新材,广东,塑料,主板,20231030,20250307,22.37,2.3816,2.3816,0.82,24.5777,32.2636,1.5956,2.4469,2.0198,2.9057,2.9057,13333.36,6504.9972,6504.9972,298267.2632,145516.7874
001387.SZ,001387,雪祺电气,安徽,家用电器,主板,20240111,20250307,14.06,5.6668,9.4028,2.75,18.2204,25.958,2.1445,1.091,1.2431,1.8599,2.4126,18303.84,10689.0333,6441.9333,257351.9904,150287.8082
001389.SZ,001389,广合科技,广东,元器件,主板,20240402,20250307,57.55,8.5575,8.5575,0.78,59.0182,39.6438,8.3642,9.138,7.2029,0.4314,0.4314,42526.5,3807.0,3807.0,2447400.075,219092.85
001391.SZ,001391,国货航,北京,仓储物流,主板,20241230,20250307,6.82,4.8617,4.8617,0.75,72.1883,51.6428,3.3767,5.5812,4.3093,,,1220888.1225,83894.3942,83894.3942,8326456.9955,572159.7684
001696.SZ,001696,宗申动力,重庆,摩托车,主板,19970306,20250307,24.22,4.8348,6.3711,0.92,76.6123,73.0139,5.6434,3.4677,2.9035,1.0322,1.0322,114502.692,89133.9725,67639.8225,2773255.2002,2158824.814
001872.SZ,001872,招商港口,深圳,港口,主板,19930505,20250307,18.5,0.5087,3.9475,1.78,12.9534,11.1257,0.7571,2.9375,2.8628,3.1335,3.1335,250092.4881,174431.9914,22479.3266,4626711.0299,3226991.8409
001965.SZ,001965,招商公路,天津,路桥,主板,20171225,20250307,13.52,0.2286,0.8534,0.72,13.6273,14.0469,1.432,9.4757,7.538,3.9275,3.9275,682033.7394,682033.7394,182688.0727,9221096.1567,9221096.1567
001979.SZ,001979,招商蛇口,深圳,全国地产,主板,20151230,20250307,9.74,0.6543,1.6473,0.77,13.9653,21.8524,0.8961,0.5043,0.4932,3.2854,3.2854,906083.6177,832253.7451,330581.4342,8825254.4364,8106151.4773
002001.SZ,002001,新和成,浙江,化学制药,主板,20040625,20250307,22.0,0.7878,1.5973,1.37,25.0034,14.7228,2.5666,4.4729,3.4001,2.0455,2.9545,307342.168,303701.1928,149777.9497,6761527.696,6681426.2416
002007.SZ,002007,华兰生物,河南,生物制药,主板,20040625,20250307,15.88,0.4425,0.7123,0.86,19.6014,21.7056,2.4828,5.4365,5.9032,1.8892,1.8892,182878.0926,157412.1879,97784.2394,2904104.1105,2499705.5439
