股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
002480.SZ,新筑股份,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,31.25,43.75,25.0,0.0,-0.21,0.0,0.92,32
002480.SZ,新筑股份,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,37.5,43.75,18.75,0.0,0.0,0.0,0.0,32
002480.SZ,新筑股份,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,46.88,50.0,3.12,0.28,-0.17,0.22,0.0,32
002480.SZ,新筑股份,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,46.88,53.12,0.0,0.28,-0.23,0.18,0.0,32
002480.SZ,新筑股份,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,43.75,56.25,0.0,0.28,-0.23,0.19,0.0,32
002480.SZ,新筑股份,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1小时,40.62,53.12,6.25,0.28,-0.23,0.25,0.0,32
002480.SZ,新筑股份,3-5,今天3-5%，明天概率情况,竞价,34.78,30.43,34.78,0.0,-0.85,-0.85,0.45,23
002480.SZ,新筑股份,3-5,今天3-5%，明天概率情况,1分钟,43.48,47.83,8.7,0.0,0.0,0.0,0.0,23
002480.SZ,新筑股份,3-5,今天3-5%，明天概率情况,5分钟,56.52,39.13,4.35,0.21,-0.15,0.19,0.0,23
002480.SZ,新筑股份,3-5,今天3-5%，明天概率情况,15分钟,56.52,34.78,8.7,0.44,-0.21,0.44,0.0,23
002480.SZ,新筑股份,3-5,今天3-5%，明天概率情况,30分钟,65.22,34.78,0.0,0.44,-0.21,0.44,0.0,23
002480.SZ,新筑股份,3-5,今天3-5%，明天概率情况,1小时,52.17,39.13,8.7,0.44,-0.26,0.44,0.0,23
002480.SZ,新筑股份,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,37.78,38.89,23.33,-0.19,-0.39,-0.39,0.45,90
002480.SZ,新筑股份,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,38.89,37.78,23.33,0.0,0.0,0.0,0.0,90
002480.SZ,新筑股份,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,34.44,51.11,14.44,0.06,-0.03,0.05,0.0,90
002480.SZ,新筑股份,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,34.44,55.56,10.0,0.1,-0.03,0.08,0.0,90
002480.SZ,新筑股份,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,41.11,46.67,12.22,0.1,-0.04,0.09,0.0,90
002480.SZ,新筑股份,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,38.89,53.33,7.78,0.11,-0.05,0.11,0.0,90
002480.SZ,新筑股份,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,47.06,25.88,27.06,-0.56,-0.56,-0.56,0.48,85
002480.SZ,新筑股份,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,48.24,32.94,18.82,0.0,0.0,0.0,0.0,85
