股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
000767.SZ,晋控电力,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,27.03,33.33,39.64,-0.3,-0.6,-0.6,0.24,111
000767.SZ,晋控电力,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,24.32,31.53,44.14,0.0,0.0,0.0,0.0,111
000767.SZ,晋控电力,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,37.84,49.55,12.61,0.09,-0.03,0.09,0.0,111
000767.SZ,晋控电力,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,37.84,46.85,15.32,0.09,-0.03,0.09,0.0,111
000767.SZ,晋控电力,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,37.84,43.24,18.92,0.09,-0.03,0.09,0.0,111
000767.SZ,晋控电力,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,38.74,48.65,12.61,0.09,-0.03,0.09,0.0,111
000767.SZ,晋控电力,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,19.59,44.33,36.08,0.0,0.0,0.0,0.16,97
000767.SZ,晋控电力,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,20.62,46.39,32.99,0.0,0.0,0.0,0.0,97
000767.SZ,晋控电力,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,37.11,50.52,12.37,0.09,-0.02,0.04,0.0,97
000767.SZ,晋控电力,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,36.08,52.58,11.34,0.09,-0.03,0.06,0.0,97
000767.SZ,晋控电力,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,36.08,49.48,14.43,0.09,-0.03,0.04,0.0,97
000767.SZ,晋控电力,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,40.21,53.61,6.19,0.09,-0.03,0.04,0.0,97
000767.SZ,晋控电力,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,28.3,33.96,37.74,0.3,0.3,0.3,0.41,106
000767.SZ,晋控电力,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,34.91,40.57,24.53,0.0,0.0,0.0,0.0,106
000767.SZ,晋控电力,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,41.51,39.62,18.87,0.03,-0.09,0.02,0.0,106
000767.SZ,晋控电力,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,41.51,47.17,11.32,0.04,-0.09,0.03,0.0,106
000767.SZ,晋控电力,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,44.34,44.34,11.32,0.04,-0.09,0.03,0.0,106
000767.SZ,晋控电力,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,51.89,33.02,15.09,0.04,-0.09,0.03,0.0,106
000767.SZ,晋控电力,flat,今天平开(涨幅=0%)  ，明天概率情况,竞价,22.5,40.0,37.5,0.31,0.0,0.31,0.19,40
000767.SZ,晋控电力,flat,今天平开(涨幅=0%)  ，明天概率情况,1分钟,22.5,45.0,32.5,0.0,0.0,0.0,0.0,40
000767.SZ,晋控电力,flat,今天平开(涨幅=0%)  ，明天概率情况,5分钟,30.0,50.0,20.0,0.05,-0.09,0.03,0.0,40
000767.SZ,晋控电力,flat,今天平开(涨幅=0%)  ，明天概率情况,15分钟,30.0,52.5,17.5,0.07,-0.1,0.05,0.0,40
000767.SZ,晋控电力,flat,今天平开(涨幅=0%)  ，明天概率情况,30分钟,42.5,45.0,12.5,0.08,-0.1,0.05,0.0,40
000767.SZ,晋控电力,flat,今天平开(涨幅=0%)  ，明天概率情况,1小时,45.0,47.5,7.5,0.09,-0.14,0.07,0.0,40
000767.SZ,晋控电力,1-3,今天1-3%，明天概率情况,竞价,31.33,37.35,31.33,0.6,0.3,0.6,2.49,83
000767.SZ,晋控电力,1-3,今天1-3%，明天概率情况,1分钟,26.51,45.78,27.71,0.0,0.0,0.0,0.0,83
000767.SZ,晋控电力,1-3,今天1-3%，明天概率情况,5分钟,39.76,46.99,13.25,0.06,-0.03,0.06,0.0,83
000767.SZ,晋控电力,1-3,今天1-3%，明天概率情况,15分钟,40.96,43.37,15.66,0.07,-0.03,0.05,0.0,83
000767.SZ,晋控电力,1-3,今天1-3%，明天概率情况,30分钟,40.96,43.37,15.66,0.07,-0.03,0.05,0.0,83
000767.SZ,晋控电力,1-3,今天1-3%，明天概率情况,1小时,39.76,51.81,8.43,0.07,-0.04,0.07,0.0,83
000767.SZ,晋控电力,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,33.33,33.33,33.33,0.0,0.0,0.0,0.19,9
000767.SZ,晋控电力,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,33.33,33.33,33.33,0.0,0.0,0.0,0.0,9
000767.SZ,晋控电力,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,66.67,11.11,22.22,0.34,-0.29,0.25,0.0,9
000767.SZ,晋控电力,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,55.56,44.44,0.0,0.34,-0.29,0.18,0.0,9
000767.SZ,晋控电力,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,55.56,44.44,0.0,0.34,-0.29,0.25,0.0,9
000767.SZ,晋控电力,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1小时,55.56,44.44,0.0,0.47,-0.29,0.42,0.0,9
000767.SZ,晋控电力,3-5,今天3-5%，明天概率情况,竞价,29.41,41.18,29.41,0.3,0.0,0.0,1.37,17
000767.SZ,晋控电力,3-5,今天3-5%，明天概率情况,1分钟,35.29,41.18,23.53,0.0,0.0,0.0,0.0,17
000767.SZ,晋控电力,3-5,今天3-5%，明天概率情况,5分钟,29.41,64.71,5.88,0.29,-0.32,0.27,0.0,17
000767.SZ,晋控电力,3-5,今天3-5%，明天概率情况,15分钟,23.53,64.71,11.76,0.4,-0.32,0.31,0.0,17
000767.SZ,晋控电力,3-5,今天3-5%，明天概率情况,30分钟,23.53,70.59,5.88,0.4,-0.32,0.27,0.0,17
000767.SZ,晋控电力,3-5,今天3-5%，明天概率情况,1小时,29.41,58.82,11.76,0.4,-0.36,0.32,0.0,17
000767.SZ,晋控电力,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,18.18,63.64,18.18,1.11,0.0,1.11,29.19,11
000767.SZ,晋控电力,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,27.27,63.64,9.09,0.0,0.0,0.0,0.0,11
000767.SZ,晋控电力,large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,27.27,72.73,0.0,0.36,-0.35,0.18,0.0,11
