股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
300203.SZ,聚光科技,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,46.55,37.93,15.52,-0.37,-0.37,-0.37,0.29,58
300203.SZ,聚光科技,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,44.83,41.38,13.79,0.0,0.0,0.0,0.0,58
300203.SZ,聚光科技,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,43.1,56.9,0.0,0.1,-0.04,0.09,0.0,58
300203.SZ,聚光科技,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,41.38,55.17,3.45,0.1,-0.06,0.1,0.0,58
300203.SZ,聚光科技,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,44.83,53.45,1.72,0.12,-0.06,0.09,0.0,58
300203.SZ,聚光科技,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,44.83,55.17,0.0,0.12,-0.06,0.06,0.0,58
300203.SZ,聚光科技,1-3,今天1-3%，明天概率情况,竞价,40.0,47.06,12.94,0.18,-0.97,0.18,0.81,85
300203.SZ,聚光科技,1-3,今天1-3%，明天概率情况,1分钟,39.08,47.13,13.79,0.0,0.0,0.0,0.0,87
300203.SZ,聚光科技,1-3,今天1-3%，明天概率情况,5分钟,37.93,60.92,1.15,0.18,-0.04,0.09,0.0,87
300203.SZ,聚光科技,1-3,今天1-3%，明天概率情况,15分钟,36.78,63.22,0.0,0.18,-0.04,0.08,0.0,87
300203.SZ,聚光科技,1-3,今天1-3%，明天概率情况,30分钟,35.63,60.92,3.45,0.18,-0.05,0.07,0.0,87
300203.SZ,聚光科技,1-3,今天1-3%，明天概率情况,1小时,40.23,59.77,0.0,0.18,-0.05,0.08,0.0,87
300203.SZ,聚光科技,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,38.03,50.0,11.97,0.0,0.0,0.0,0.19,142
300203.SZ,聚光科技,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,36.62,52.82,10.56,0.0,0.0,0.0,0.0,142
300203.SZ,聚光科技,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,33.8,61.27,4.93,0.05,-0.03,0.05,0.0,142
300203.SZ,聚光科技,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,33.8,65.49,0.7,0.05,-0.06,0.04,0.0,142
300203.SZ,聚光科技,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,38.73,60.56,0.7,0.05,-0.07,0.04,0.0,142
300203.SZ,聚光科技,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,36.62,62.68,0.7,0.06,-0.07,0.05,0.0,142
300203.SZ,聚光科技,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,48.72,43.59,7.69,0.0,-0.62,-0.41,0.42,39
300203.SZ,聚光科技,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,48.72,43.59,7.69,0.0,0.0,0.0,0.0,39
300203.SZ,聚光科技,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,46.15,51.28,2.56,0.23,-0.12,0.05,0.0,39
300203.SZ,聚光科技,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,46.15,53.85,0.0,0.23,-0.17,0.07,0.0,39
300203.SZ,聚光科技,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,51.28,48.72,0.0,0.23,-0.19,0.09,0.0,39
300203.SZ,聚光科技,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1小时,48.72,48.72,2.56,0.23,-0.26,0.15,0.0,39
300203.SZ,聚光科技,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,45.21,42.47,12.33,-0.84,-0.84,-0.84,0.18,73
300203.SZ,聚光科技,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,41.89,44.59,13.51,0.0,0.0,0.0,0.0,74
300203.SZ,聚光科技,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,43.24,50.0,6.76,0.15,-0.05,0.13,0.0,74
300203.SZ,聚光科技,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,44.59,54.05,1.35,0.18,-0.05,0.15,0.0,74
300203.SZ,聚光科技,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,37.84,59.46,2.7,0.18,-0.05,0.17,0.0,74
300203.SZ,聚光科技,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,43.24,55.41,1.35,0.25,-0.08,0.25,0.0,74
300203.SZ,聚光科技,7-9,今天7-9%，明天概率情况,竞价,37.5,50.0,12.5,-0.5,-0.5,-0.5,2.47,8
300203.SZ,聚光科技,7-9,今天7-9%，明天概率情况,1分钟,37.5,62.5,0.0,0.0,0.0,0.0,0.0,8
300203.SZ,聚光科技,7-9,今天7-9%，明天概率情况,5分钟,37.5,62.5,0.0,0.36,-0.39,0.34,0.0,8
300203.SZ,聚光科技,7-9,今天7-9%，明天概率情况,15分钟,12.5,75.0,12.5,0.54,-0.5,0.28,0.0,8
300203.SZ,聚光科技,7-9,今天7-9%，明天概率情况,30分钟,50.0,50.0,0.0,0.54,-0.5,0.41,0.0,8
300203.SZ,聚光科技,7-9,今天7-9%，明天概率情况,1小时,50.0,50.0,0.0,1.0,-0.61,0.66,0.0,8
300203.SZ,聚光科技,5-7,今天5-7%，明天概率情况,竞价,38.46,61.54,0.0,-0.09,-0.09,-0.09,0.33,13
300203.SZ,聚光科技,5-7,今天5-7%，明天概率情况,1分钟,38.46,61.54,0.0,0.0,0.0,0.0,0.0,13
300203.SZ,聚光科技,5-7,今天5-7%，明天概率情况,5分钟,30.77,69.23,0.0,0.45,-0.37,0.29,0.0,13
300203.SZ,聚光科技,5-7,今天5-7%，明天概率情况,15分钟,38.46,61.54,0.0,0.45,-0.37,0.23,0.0,13
300203.SZ,聚光科技,5-7,今天5-7%，明天概率情况,30分钟,30.77,69.23,0.0,0.45,-0.39,0.38,0.0,13
300203.SZ,聚光科技,5-7,今天5-7%，明天概率情况,1小时,30.77,69.23,0.0,0.61,-0.42,0.57,0.0,13
300203.SZ,聚光科技,3-5,今天3-5%，明天概率情况,竞价,54.55,39.39,6.06,-0.6,-1.09,-1.09,0.61,33
300203.SZ,聚光科技,3-5,今天3-5%，明天概率情况,1分钟,54.55,39.39,6.06,0.0,0.0,0.0,0.0,33
300203.SZ,聚光科技,3-5,今天3-5%，明天概率情况,5分钟,69.7,30.3,0.0,0.28,-0.1,0.27,0.0,33
300203.SZ,聚光科技,3-5,今天3-5%，明天概率情况,15分钟,63.64,36.36,0.0,0.4,-0.14,0.4,0.0,33
