股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
000008.SZ,神州高铁,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,40.0,60.0,0.0,-0.73,-1.09,-1.09,3.05,5
000008.SZ,神州高铁,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,40.0,60.0,0.0,0.0,0.0,0.0,0.0,5
000008.SZ,神州高铁,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,40.0,60.0,0.0,0.74,-1.52,0.52,0.0,5
000008.SZ,神州高铁,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,40.0,40.0,20.0,0.74,-1.24,0.74,0.0,5
000008.SZ,神州高铁,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,60.0,20.0,20.0,0.67,-0.28,0.59,0.0,5
000008.SZ,神州高铁,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,80.0,20.0,0.0,0.59,-0.29,0.52,0.0,5
000008.SZ,神州高铁,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,40.0,60.0,0.0,1.08,1.08,1.08,3.49,5
000008.SZ,神州高铁,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,40.0,60.0,0.0,0.0,0.0,0.0,0.0,5
000008.SZ,神州高铁,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,40.0,60.0,0.0,0.96,-0.57,0.48,0.0,5
000008.SZ,神州高铁,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,20.0,80.0,0.0,0.69,-0.43,0.34,0.0,5
000008.SZ,神州高铁,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,20.0,80.0,0.0,0.41,-0.5,0.21,0.0,5
000008.SZ,神州高铁,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,20.0,80.0,0.0,0.14,-0.5,0.14,0.0,5
000008.SZ,神州高铁,1-3,今天1-3%，明天概率情况,竞价,0.0,100.0,0.0,-4.43,-4.8,-4.43,1.37,4
000008.SZ,神州高铁,1-3,今天1-3%，明天概率情况,1分钟,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4
000008.SZ,神州高铁,1-3,今天1-3%，明天概率情况,5分钟,0.0,100.0,0.0,0.0,-1.2,0.0,0.0,4
000008.SZ,神州高铁,1-3,今天1-3%，明天概率情况,15分钟,0.0,100.0,0.0,0.09,-1.08,0.0,0.0,4
000008.SZ,神州高铁,1-3,今天1-3%，明天概率情况,30分钟,0.0,75.0,25.0,0.18,-0.9,0.0,0.0,4
000008.SZ,神州高铁,1-3,今天1-3%，明天概率情况,1小时,25.0,75.0,0.0,0.18,-0.74,0.09,0.0,4
000008.SZ,神州高铁,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,66.67,0.0,33.33,0.73,0.0,0.73,2.12,3
000008.SZ,神州高铁,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3
000008.SZ,神州高铁,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,100.0,0.0,0.0,1.69,-0.23,1.57,0.0,3
000008.SZ,神州高铁,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,100.0,0.0,0.0,1.45,0.0,1.21,0.0,3
000008.SZ,神州高铁,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,100.0,0.0,0.0,1.33,0.0,1.21,0.0,3
000008.SZ,神州高铁,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,100.0,0.0,0.0,1.21,-0.12,1.09,0.0,3
000008.SZ,神州高铁,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,100.0,0.0,0.0,1.12,0.74,0.74,1.19,2
000008.SZ,神州高铁,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2
